,Host,Isolate Name,Isolation Date,State,Subtype
26,IRD:Avian,A/American black duck/Nova Scotia/00086/2010,2010-09-10 00:00:00,Nova Scotia,H1N1
27,IRD:Avian,A/northern pintail/Interior Alaska/10BM06872R0/2010,2010-07-31 00:00:00,Interior Alaska,H3N8
28,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM09561R0/2010,2010-08-07 00:00:00,Interior Alaska,H3N8
29,IRD:Mallard/Avian,A/mallard/Alberta/590/2010,2010-08-14 00:00:00,Alberta,H7N8
30,IRD:Mallard/Avian,A/mallard/Quebec/02916-1/2009,2009-08-18 00:00:00,Quebec,H16N3
31,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-194/2009,2009-05-13 00:00:00,New Jersey,H11N8
32,IRD:Mallard/Avian,A/mallard/California/2521P/2011,2011-08-12 00:00:00,California,H3N8
33,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-1325/2009,2009-05-30 00:00:00,New Jersey,H10N7
34,IRD:Avian,A/mallard/Interior Alaska/10BM06828R0/2010,2010-07-31 00:00:00,Interior Alaska,H3N8
35,IRD:Mallard/Avian,A/mallard/Minnesota/AI09-2434/2009,2009-08-05 00:00:00,Minnesota,H3N8
36,IRD:Avian,A/mallard/North Dakota/Sg-00703/2008,2008-09-02 00:00:00,North Dakota,H12N4
37,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM09818R0/2010,2010-08-07 00:00:00,Interior Alaska,H7N3
38,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM1959/2009,2009-07-04 00:00:00,Interior Alaska,H4N6
39,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3578/2011,2011-10-30 00:00:00,Wisconsin,H10N7
40,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-1326/2009,2009-05-30 00:00:00,New Jersey,H10N7
41,IRD:Mallard/Avian,A/mallard/Ohio/10OS1354/2010,2010-08-06 00:00:00,Ohio,H6N1
42,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/8BM3608/2008,2008-09-15 00:00:00,Interior Alaska,H4N6
43,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM07072R0/2010,2010-08-01 00:00:00,Interior Alaska,H7N3
44,IRD:Avian,A/blue-winged teal/Alberta/405/2008,2008-08-08 00:00:00,Alberta,H10N7
45,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM12094R0/2009,2009-08-20 00:00:00,Interior Alaska,H10N7
46,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM12172R0/2010,2010-08-13 00:00:00,Interior Alaska,H3N8
47,IRD:Avian,A/American green-winged teal/Illinois/10OS3662/2010,2010-10-31 00:00:00,Illinois,H11N2
48,IRD:Mallard/Avian,A/mallard/New Jersey/Sg-00893/2008,2008-09-23 00:00:00,New Jersey,H3N2
49,IRD:Avian,A/blue-winged teal/Louisiana/AI09-5234/2009,2009-11-15 00:00:00,Louisiana,H11N2
50,IRD:Avian,A/American black duck/New Brunswick/00477/2010,2010-08-12 00:00:00,New Brunswick,H10N6
51,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11783R0/2009,2009-08-19 00:00:00,Interior Alaska,H10N7
52,IRD:Avian,A/mallard/Interior Alaska/10BM06459R0/2010,2010-07-30 00:00:00,Interior Alaska,H4N6
53,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00522/2010,2010-08-13 00:00:00,New Brunswick,H3N8
54,IRD:Laughing Gull/Avian,A/laughing gull/New Jersey/AI09-271/2009,2009-05-15 00:00:00,New Jersey,H11N1
55,IRD:Avian,A/northern pintail/Interior Alaska/9BM3859R1/2009,2009-07-24 00:00:00,Interior Alaska,H10N7
56,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3171/2011,2011-09-24 00:00:00,Wisconsin,H3N2
57,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/Sg-00468/2008,2008-05-21 00:00:00,Delaware,H10N7
58,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM08493R0/2010,2010-08-04 00:00:00,Interior Alaska,H3N8
59,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7694R0/2009,2009-08-08 00:00:00,Interior Alaska,H10N4
60,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM8109R0/2009,2009-08-09 00:00:00,Interior Alaska,H8N4
61,IRD:Avian,A/American green-winged teal/Illinois/10OS3329/2010,2010-10-30 00:00:00,Illinois,H7N7
62,IRD:Northern Shoveler/Avian,A/northern shoveler/Wisconsin/2508/2009,2009-10-03 00:00:00,Wisconsin,H4N2
63,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM10864R0/2010,2010-08-10 00:00:00,Interior Alaska,H4N6
64,IRD:Mallard/Avian,A/mallard/Wisconsin/2712/2009,2009-10-11 00:00:00,Wisconsin,H3N6
65,IRD:Avian,A/mallard/Interior Alaska/10BM01929R0/2010,2010-06-15 00:00:00,Interior Alaska,H10N7
66,IRD:Mallard/Avian,A/mallard/California/5351/2009,2009-08-04 00:00:00,California,H1N1
67,IRD:Avian,A/mallard/Interior Alaska/9BM2750R0/2009,2009-07-15 00:00:00,Interior Alaska,H10N7
68,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM9975R0/2009,2009-08-15 00:00:00,Interior Alaska,H4N6
69,IRD:Avian,A/mallard/California/8028/2008,2008-10-18 00:00:00,California,H11N2
70,IRD:Green-Winged Teal/Avian,A/American green-winged teal/Wisconsin/2690/2009,2009-10-20 00:00:00,Wisconsin,H3N8
71,IRD:Avian,A/blue-winged teal/Iowa/10OS2624/2010,2010-09-18 00:00:00,Iowa,H3N2
72,IRD:Avian,A/American green-winged teal/Texas/AI09-4396/2009,2009-09-19 00:00:00,Texas,H3N9
73,IRD:Mallard/Avian,A/mallard/Ohio/11OS2202/2011,2011-08-19 00:00:00,Ohio,H4N8
74,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM9601R0/2009,2009-08-13 00:00:00,Interior Alaska,H10N7
75,IRD:Duck/Avian,A/long-tailed duck/Wisconsin/11OS4520/2011,2011-11-28 00:00:00,Wisconsin,H6N9
76,IRD:Avian,A/mallard/California/8293/2008,2008-10-18 00:00:00,California,H6N1
77,IRD:Avian,A/mallard/Nova Scotia/03271/2009,2009-08-06 00:00:00,Nova Scotia,H3N8
78,IRD:Mallard/Avian,A/mallard/Illinois/11OS5570/2011,2011-11-12 00:00:00,Illinois,H3N8
79,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Guatemala/CIP049-07/2010,2010-01-31 00:00:00,Guatemala,H8N4
80,IRD:Avian,A/northern pintail/California/3466/2010,2010-12-08 00:00:00,California,H1N3
81,IRD:Mallard/Avian,A/mallard/Mississippi/442/2010,2010-01-19 00:00:00,Mississippi,H1N1
82,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00563/2008,2008-05-10 00:00:00,New Jersey,H10N7
83,IRD:Duck/Avian,A/long-tailed duck/Wisconsin/11OS4248/2011,2011-10-24 00:00:00,Wisconsin,H3N8
84,IRD:Avian,A/ring-billed gull/Quebec/G192/2010,2010-05-19 00:00:00,Quebec,H1N3
85,IRD:Avian,A/American black duck/New Brunswick/00321/2010,2010-08-08 00:00:00,New Brunswick,H1N1
86,IRD:Avian,A/mallard/Illinois/10OS3599/2010,2010-10-30 00:00:00,Illinois,H6N1
87,IRD:Mallard/Avian,A/mallard/California/2555V/2011,2011-08-12 00:00:00,California,H11N9
88,IRD:Avian,A/northern pintail/Interior Alaska/10BM06720R0/2010,2010-07-30 00:00:00,Interior Alaska,H7N3
89,IRD:Avian,A/mallard/New Jersey/Sg-00884/2008,2008-09-22 00:00:00,New Jersey,H11N2
90,IRD:Avian,A/blue-winged teal/North Dakota/Sg-00719/2008,2008-09-08 00:00:00,North Dakota,H3N8
91,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-841/2009,2009-05-22 00:00:00,New Jersey,H1N1
92,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM11672R0/2010,2010-08-13 00:00:00,Interior Alaska,H3N8
93,IRD:Avian,A/American black duck/New Brunswick/00467/2010,2010-08-12 00:00:00,New Brunswick,H3N8
94,IRD:Avian,A/green-winged teal/Prince Edward Island/00841/2010,2010-09-02 00:00:00,Prince Edward Island,H3N8
95,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10393R0/2009,2009-08-17 00:00:00,Interior Alaska,H12N8
96,IRD:Avian,A/northern pintail/Interior Alaska/9BM4637R0/2009,2009-07-29 00:00:00,Interior Alaska,H10N7
97,IRD:Avian,A/American wigeon/Minnesota/Sg-01067/2008,2008-10-12 00:00:00,Minnesota,H3N8
98,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/495/2008,2008-05-17 00:00:00,Delaware,H10N7
99,IRD:Avian,A/mallard/Minnesota/Sg-00931/2008,2008-09-17 00:00:00,Minnesota,H4N6
100,IRD:Avian,A/mallard/Minnesota/Sg-00692/2008,2008-08-01 00:00:00,Minnesota,H2N3
101,IRD:Avian,A/mallard/New Brunswick/00913/2010,2010-09-14 00:00:00,New Brunswick,(H3)
102,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM04626R0/2010,2010-07-18 00:00:00,Interior Alaska,H4N6
103,IRD:Northern Pintail/Avian,A/northern pintail/California/8470/2008,2008-10-22 00:00:00,California,H6N1
104,IRD:Swan/Avian,A/swan/BC/2045/2008,2008-06-10 00:00:00,British Columbia,H5N2
105,IRD:Mallard/Avian,A/mallard/California/2559P/2011,2011-08-12 00:00:00,California,H5N8
106,IRD:Avian,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,2010-08-04 00:00:00,Interior Alaska,H3N8
107,IRD:Avian,A/northern shoveler/Mississippi/10OS4526/2010,2010-12-10 00:00:00,Mississippi,H6N2
108,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3240/2011,2011-09-19 00:00:00,Canada,H4N6
109,IRD:Avian,A/mallard/Minnesota/SG-00929/2008,2008-09-16 00:00:00,Minnesota,H3N8
110,IRD:Mallard/Avian,A/mallard/California/1289/2010,2010-07-30 00:00:00,California,H4N6
111,IRD:Gull/Avian,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010,2010-08-13 00:00:00,Southeastern Alaska,H16N3
112,IRD:Avian,A/ring-billed gull/Quebec/G066/2010,2010-05-12 00:00:00,Quebec,H1N3
113,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18 00:00:00,Interior Alaska,H10N7
114,IRD:Bufflehead/Avian,A/bufflehead/Wisconsin/11OS3570/2011,2011-10-30 00:00:00,Wisconsin,H4N8
115,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3482/2011,2011-10-23 00:00:00,Wisconsin,H3N2
116,IRD:Avian,A/mallard/Iowa/10OS2692/2010,2010-10-16 00:00:00,Iowa,H4N2
117,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3545/2011,2011-10-22 00:00:00,Wisconsin,(N2)
118,IRD:Common Goldeneye/Avian,A/common goldeneye/Wisconsin/11OS4503/2011,2011-11-20 00:00:00,Wisconsin,H4N8
119,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Guatemala/CIP049-03/2009,2009-11-11 00:00:00,Guatemala,H11N2
120,IRD:Avian,A/mallard/Illinois/10OS2677/2010,2010-10-02 00:00:00,Illinois,H3N2
121,IRD:Avian,A/northern pintail/Interior Alaska/9BM6095R0/2009,2009-08-02 00:00:00,Interior Alaska,H4N6
122,IRD:Mallard/Avian,A/mallard/Ohio/11OS1961/2011,2011-07-28 00:00:00,Ohio,H5N2
123,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM8119R0/2009,2009-08-09 00:00:00,Interior Alaska,H4N6
124,IRD:Gull/Avian,A/gull/Delaware/AI09-453/2009,2009-05-28 00:00:00,Delaware,H1N1
125,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-474/2009,2009-05-29 00:00:00,New Jersey,H10N1
126,IRD:Avian,A/mallard/Wisconsin/10OS3866/2010,2010-11-13 00:00:00,Wisconsin,H3N6
127,IRD:Avian,A/mallard/Wisconsin/10OS2889/2010,2010-10-03 00:00:00,Wisconsin,H11N9
128,IRD:Avian,A/mallard/New Brunswick/00593/2010,2010-08-15 00:00:00,New Brunswick,H3N7
129,IRD:Avian,A/blue-winged teal/Nova Scotia/00073/2010,2010-09-07 00:00:00,Nova Scotia,H3N8
130,IRD:Avian,A/mallard/California/8399/2008,2008-10-22 00:00:00,California,H6N1
131,IRD:Mallard/Avian,A/mallard/California/1188/2010,2010-07-29 00:00:00,California,H4N6
132,IRD:Gull/Avian,A/glaucous-winged gull/Southeastern Alaska/10JR01811R0/2010,2010-09-09 00:00:00,Southeastern Alaska,H16N3
133,IRD:Mallard/Avian,A/mallard/Wisconsin/1538/2009,2009-08-18 00:00:00,Wisconsin,H4N6
134,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/Sg-00538/2008,2008-05-31 00:00:00,Delaware,H1N5
135,IRD:Avian,A/gadwall/Missouri/10OS4731/2010,2010-12-12 00:00:00,Missouri,H7N3
136,IRD:Avian,A/mallard/Minnesota/Sg-00701/2008,2008-08-03 00:00:00,Minnesota,H8N4
137,IRD:Avian,A/ring-necked duck/Interior Alaska/10BM05617R0/2010,2010-07-26 00:00:00,Interior Alaska,H4N6
138,IRD:Mallard/Avian,A/mallard/Arkansas/AI09-5944/2009,2009-12-10 00:00:00,Arkansas,H4N8
139,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM10987R0/2009,2009-08-17 00:00:00,Interior Alaska,H3N8
140,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3305/2011,2011-10-01 00:00:00,Wisconsin,H3N2
141,IRD:Duck/Avian,A/wood duck/Wisconsin/11OS2912/2011,2011-09-24 00:00:00,Wisconsin,H3N6
142,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10717R0/2009,2009-08-17 00:00:00,Interior Alaska,H3N8
143,IRD:Avian,A/mallard/Interior Alaska/10BM05970R0/2010,2010-07-27 00:00:00,Interior Alaska,H3N8
144,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM12567R0/2009,2009-09-04 00:00:00,Interior Alaska,H3N8
145,IRD:Avian,A/blue-winged teal/Louisiana/AI09-5159/2009,2009-11-14 00:00:00,Louisiana,H3N8
146,IRD:Avian,A/blue-winged teal/New Brunswick/00288/2010,2010-09-14 00:00:00,New Brunswick,H5N2
147,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7254R0/2009,2009-08-06 00:00:00,Interior Alaska,H3N8
148,IRD:Avian,A/northern pintail/Wisconsin/10OS2857/2010,2010-10-02 00:00:00,Wisconsin,H5N2
149,IRD:Turkey/Avian,A/turkey/Ontario/FAV-3/2011,2011-07-06 00:00:00,Ontario,H3N2
150,IRD:Mallard/Avian,A/mallard/California/5491/2009,2009-07-23 00:00:00,California,H5N2
151,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00544/2008,2008-06-01 00:00:00,New Jersey,H1N5
152,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11487R0/2009,2009-08-18 00:00:00,Interior Alaska,H3N8
153,IRD:Avian,A/mallard/Wisconsin/10OS3051/2010,2010-10-03 00:00:00,Wisconsin,H4N2
154,IRD:Northern Shoveler/Avian,A/northern shoveler/California/HKWF2031/2008,2008-01-23 00:00:00,California,H7N3
155,IRD:Mallard/Avian,A/mallard/Ohio/10OS1470/2010,2010-08-18 00:00:00,Ohio,H3N2
156,IRD:Mallard/Avian,A/mallard/California/1210/2010,2010-07-29 00:00:00,California,H4N6
157,IRD:Northern Shoveler/Avian,A/northern shoveler/California/9267/2008,2008-11-23 00:00:00,California,H4N6
158,IRD:Avian,A/mallard/California/6517/2008,2008-11-05 00:00:00,California,H11N9
159,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11420R0/2010,2010-08-12 00:00:00,Interior Alaska,H3N8
160,IRD:Avian,A/mallard/California/1154/2010,2010-07-27 00:00:00,California,H4N6
161,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7846R0/2009,2009-08-08 00:00:00,Interior Alaska,H10N7
162,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/512/2009,2009-05-21 00:00:00,Delaware,H10N7
163,IRD:Mallard/Avian,A/mallard/Wisconsin/4194/2009,2009-12-03 00:00:00,Wisconsin,H1N1
164,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-618/2009,2009-05-26 00:00:00,New Jersey,H1N9
165,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00494/2008,2008-05-18 00:00:00,New Jersey,H4N6
166,IRD:Avian,A/American black duck/Nova Scotia/00094/2010,2010-09-10 00:00:00,Nova Scotia,H1N1
167,IRD:Avian,A/mallard/New Jersey/AI09-5086/2009,2009-09-28 00:00:00,New Jersey,(H4)
168,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM12204R0/2009,2009-08-21 00:00:00,Interior Alaska,H4N6
169,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM1964/2009,2009-07-06 00:00:00,Interior Alaska,H4N6
170,IRD:Avian,A/American black duck/New Brunswick/00484/2010,2010-08-12 00:00:00,New Brunswick,H3N8
171,IRD:Mallard/Avian,A/mallard/Illinois/2956/2009,2009-10-17 00:00:00,Illinois,(N3)
172,IRD:Avian,A/mallard/New Jersey/AI09-5361/2009,2009-09-28 00:00:00,New Jersey,H11N9
173,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10537R0/2009,2009-08-16 00:00:00,Interior Alaska,H8N4
174,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/03511/2009,2009-09-10 00:00:00,New Brunswick,H4N6
175,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/Sg-00540/2008,2008-05-31 00:00:00,Delaware,H12N4
176,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3158/2011,2011-09-24 00:00:00,Wisconsin,H3N2
177,IRD:Avian,A/northern pintail/Interior Alaska/9BM11757R0/2009,2009-08-19 00:00:00,Interior Alaska,H3N8
178,IRD:Avian,A/mallard/Minnesota/AI08-3881/2008,2008-09-03 00:00:00,Minnesota,H2N2
179,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00497/2008,2008-05-17 00:00:00,New Jersey,H12N5
180,IRD:Mallard/Avian,A/mallard/Minnesota/Sg-00628/2008,2008-07-29 00:00:00,Minnesota,H1N1
181,IRD:American Wigeon/Avian,A/American wigeon/California/8363/2008,2008-10-19 00:00:00,California,H6N1
182,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM10324R0/2010,2010-08-09 00:00:00,Interior Alaska,H7N3
183,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM07737R0/2010,2010-08-03 00:00:00,Interior Alaska,H7N3
184,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM1852/2009,2009-07-06 00:00:00,Interior Alaska,H10N5
185,IRD:Avian,A/mallard/California/8427/2008,2008-10-22 00:00:00,California,H6N1
186,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11485R0/2010,2010-08-12 00:00:00,Interior Alaska,(N6)
187,IRD:Mallard/Avian,A/mallard/Ohio/11OS2078/2011,2011-08-18 00:00:00,Ohio,H1N1
188,IRD:Mallard/Avian,A/mallard/New Jersey/Sg-00895/2008,2008-09-20 00:00:00,New Jersey,H3N8
189,IRD:Northern Shoveler/Avian,A/northern shoveler/Mississippi/252/2010,2010-01-10 00:00:00,Mississippi,H10N7
190,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00518/2008,2008-05-28 00:00:00,New Jersey,H3N2
191,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7232R0/2009,2009-08-06 00:00:00,Interior Alaska,H4N6
192,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/170/2009,2009-05-20 00:00:00,Delaware,H1N1
193,IRD:Avian,A/American black duck/New Brunswick/00906/2010,2010-09-14 00:00:00,New Brunswick,H10N7
194,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/296/2008,2008-05-16 00:00:00,Delaware,H4N6
195,IRD:Avian,A/mallard/Interior Alaska/10BM06455R0/2010,2010-07-30 00:00:00,Interior Alaska,H4N6
196,IRD:Red Knot/Avian,A/red knot/New Jersey/Sg-00479/2008,2008-05-16 00:00:00,New Jersey,H4N6
197,IRD:Mallard/Avian,A/mallard/Interior Alaska/8BM3614/2008,2008-09-16 00:00:00,Interior Alaska,H3N8
198,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00501/2008,2008-05-16 00:00:00,New Jersey,H12N5
199,IRD:Avian,A/mallard/California/8518/2008,2008-10-25 00:00:00,California,H6N1
200,IRD:Avian,A/mallard/Wisconsin/10OS2900/2010,2010-10-03 00:00:00,Wisconsin,H3N2
201,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM8273R0/2009,2009-08-09 00:00:00,Interior Alaska,H10N4
202,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00519/2008,2008-05-28 00:00:00,New Jersey,H3N2
203,IRD:American Wigeon/Avian,A/American wigeon/California/8352/2008,2008-10-19 00:00:00,California,H12N5
204,IRD:Avian,A/blue-winged teal/New Brunswick/00599/2010,2010-08-15 00:00:00,New Brunswick,H3N7
205,IRD:Mallard/Avian,A/mallard/Ohio/11OS2006/2011,2011-08-15 00:00:00,Ohio,H5N2
206,IRD:Mallard/Avian,A/mallard/California/1356/2010,2010-08-04 00:00:00,California,H10N7
207,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00614/2010,2010-08-16 00:00:00,New Brunswick,H3N8
208,IRD:Mallard/Avian,A/mallard/California/2535V/2011,2011-08-12 00:00:00,California,H5N1
209,IRD:Avian,A/northern shoveler/Interior Alaska/10BM05382R0/2010,2010-07-25 00:00:00,Interior Alaska,H3N8
210,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/AI09-467/2009,2009-05-28 00:00:00,Delaware,H10N7
211,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM4347R0/2009,2009-07-27 00:00:00,Interior Alaska,H4N6
212,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3301/2011,2011-09-25 00:00:00,Canada,H4N6
213,IRD:Mallard/Avian,A/mallard/California/5386/2009,2009-08-04 00:00:00,California,H5N2
214,IRD:Green-Winged Teal/Avian,A/green-winged teal/Minnesota/Sg-00820/2008,2008-09-03 00:00:00,Minnesota,H4N5
215,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM12351R0/2010,2010-08-14 00:00:00,Interior Alaska,H3N8
216,IRD:Avian,A/American black duck/Nova Scotia/00083/2010,2010-09-10 00:00:00,Nova Scotia,H1N1
217,IRD:American Green-winged Teal/Avian,A/American green-winged teal/Interior Alaska/9BM7190R0/2009,2009-08-06 00:00:00,Interior Alaska,H10N7
218,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00477/2008,2008-05-17 00:00:00,New Jersey,H4N6
219,IRD:Avian,A/American green-winged teal/Wisconsin/11OS3053/2011,2011-09-24 00:00:00,Wisconsin,H6N1
220,IRD:Avian,A/American black duck/New Brunswick/00500/2010,2010-08-12 00:00:00,New Brunswick,H3N8
221,IRD:Avian,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,2009-09-02 00:00:00,Interior Alaska,H3N8
222,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM12049R0/2010,2010-08-13 00:00:00,Interior Alaska,H3N8
223,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM11989R0/2010,2010-08-13 00:00:00,Interior Alaska,H3N8
224,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00510/2008,2008-05-23 00:00:00,New Jersey,H4N6
225,IRD:Duck/Avian,A/wood duck/Wisconsin/10OS2778/2010,2010-09-26 00:00:00,Wisconsin,H3N8
226,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10801R0/2010,2010-08-10 00:00:00,Interior Alaska,H7N3
