,Sink,Source,Time Class,Time Delta,Transmission Type,Weight
40,A/mallard/Interior Alaska/9BM1959/2009,A/mallard/Interior Alaska/9BM1869/2009,Direct Transmission,3.0,Intra-Species,8.0
41,A/mallard/Interior Alaska/9BM2077/2009,A/mallard/Interior Alaska/9BM1869/2009,Direct Transmission,8.0,Intra-Species,7.997095
42,A/northern pintail/Interior Alaska/10BM10928R0/2010,A/mallard/Interior Alaska/10BM11421R0/2010,Direct Transmission,-1.0,Inter-Species,8.0
43,A/northern pintail/Interior Alaska/10BM10480R0/2010,A/mallard/Interior Alaska/10BM11421R0/2010,Direct Transmission,-3.0,Inter-Species,7.997363000000001
44,A/mallard/Interior Alaska/10BM10324R0/2010,A/northern pintail/Interior Alaska/10BM09832R0/2010,Direct Transmission,2.0,Inter-Species,7.998886
45,A/mallard/Ohio/2031/2009,A/mallard/Ohio/2033/2009,Direct Transmission,0.0,Intra-Species,8.0
46,A/American black duck/New Brunswick/00906/2010,A/American black duck/New Brunswick/00909/2010,Direct Transmission,0.0,Intra-Species,8.0
47,A/mallard-black duck hybrid/New Brunswick/00904/2010,A/American black duck/New Brunswick/00909/2010,Direct Transmission,0.0,Inter-Species,8.0
48,A/mallard/Interior Alaska/10BM06454R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,8.0
49,A/mallard/Interior Alaska/10BM06460R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,7.998991
50,A/mallard/Interior Alaska/10BM06450R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,8.0
51,A/mallard/Interior Alaska/10BM06459R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
52,A/mallard/Interior Alaska/10BM06456R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,7.999414999999999
53,A/mallard/Interior Alaska/10BM07777R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,4.0,Intra-Species,8.0
54,A/mallard/Interior Alaska/10BM06452R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,8.0
55,A/mallard/Interior Alaska/10BM06455R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
56,A/mallard/Interior Alaska/10BM06461R0/2010,A/mallard/Interior Alaska/10BM06448R0/2010,Direct Transmission,0.0,Intra-Species,8.0
57,A/mallard/Interior Alaska/9BM8829R0/2009,A/northern pintail/Interior Alaska/9BM6095R0/2009,Direct Transmission,9.0,Inter-Species,7.9940760000000015
58,A/American green-winged teal/Interior Alaska/9BM6258R0/2009,A/northern pintail/Interior Alaska/9BM6095R0/2009,Direct Transmission,1.0,Inter-Species,7.996753
59,A/northern pintail/Interior Alaska/9BM10813R0/2009,A/northern pintail/Interior Alaska/9BM6095R0/2009,Direct Transmission,15.0,Intra-Species,7.9967320000000015
60,A/northern pintail/Interior Alaska/9BM6094R0/2009,A/northern pintail/Interior Alaska/9BM6095R0/2009,Direct Transmission,0.0,Intra-Species,8.0
61,A/northern pintail/Interior Alaska/9BM7632R0/2009,A/northern pintail/Interior Alaska/9BM6095R0/2009,Direct Transmission,6.0,Intra-Species,7.996047
62,A/northern shoveler/Interior Alaska/9BM4905R0/2009,A/northern pintail/Interior Alaska/9BM4347R0/2009,Direct Transmission,2.0,Inter-Species,7.993804000000001
63,A/northern pintail/Interior Alaska/9BM4641R0/2009,A/northern pintail/Interior Alaska/9BM4347R0/2009,Direct Transmission,2.0,Intra-Species,7.997361
64,A/American green-winged teal/Interior Alaska/9BM5041R0/2009,A/northern pintail/Interior Alaska/9BM4347R0/2009,Direct Transmission,2.0,Inter-Species,7.993006000000001
65,A/northern pintail/Interior Alaska/9BM4660R0/2009,A/northern pintail/Interior Alaska/9BM4347R0/2009,Direct Transmission,2.0,Intra-Species,8.0
66,A/mallard/Interior Alaska/9BM11351R0/2009,A/northern pintail/Interior Alaska/9BM11151R0/2009,Direct Transmission,0.0,Inter-Species,8.0
67,A/ruddy turnstone/New Jersey/AI09-1211/2009,A/ruddy turnstone/New Jersey/AI09-1082/2009,Direct Transmission,4.0,Intra-Species,7.997489
68,A/northern pintail/Interior Alaska/9BM4637R0/2009,A/northern pintail/Interior Alaska/9BM5375R0/2009,Direct Transmission,-1.0,Intra-Species,7.99805
69,A/northern pintail/Interior Alaska/9BM5053R0/2009,A/northern pintail/Interior Alaska/9BM5375R0/2009,Direct Transmission,-1.0,Intra-Species,8.0
70,A/blue-winged teal/Nova Scotia/00121/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Inter-Species,8.0
71,A/mallard/Nova Scotia/00084/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Inter-Species,7.999567
72,A/American black duck/Nova Scotia/00091/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.998694
73,A/American black duck/Nova Scotia/00096/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.9995460000000005
74,A/American black duck/Nova Scotia/00092/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,8.0
75,A/American black duck/Nova Scotia/00086/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.998841
76,A/shorebird/Delaware Bay/107/2009,A/shorebird/Delaware Bay/281/2009,Direct Transmission,0.0,Intra-Species,7.998717000000001
77,A/American black duck/New Brunswick/00520/2010,A/American black duck/New Brunswick/00499/2010,Direct Transmission,0.0,Intra-Species,7.996278999999999
78,A/American green-winged teal/Interior Alaska/10BM05165R0/2010,A/northern shoveler/Interior Alaska/10BM05408R0/2010,Direct Transmission,-3.0,Inter-Species,7.995918
79,A/northern pintail/Interior Alaska/10BM07040R0/2010,A/northern shoveler/Interior Alaska/10BM05408R0/2010,Direct Transmission,7.0,Inter-Species,7.990434
80,A/mallard/Interior Alaska/10BM05247R0/2010,A/northern shoveler/Interior Alaska/10BM05408R0/2010,Direct Transmission,-2.0,Inter-Species,7.996488999999999
81,A/ring-necked duck/Interior Alaska/10BM05617R0/2010,A/northern shoveler/Interior Alaska/10BM05408R0/2010,Direct Transmission,1.0,Inter-Species,7.995486
82,A/northern pintail/Interior Alaska/9BM5698R0/2009,A/northern pintail/Interior Alaska/9BM4410R1/2009,Direct Transmission,3.0,Intra-Species,7.998229999999999
83,A/mallard/Interior Alaska/10BM06454R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,8.0
84,A/mallard/Interior Alaska/10BM06460R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,7.998991
85,A/mallard/Interior Alaska/10BM06448R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,8.0
86,A/mallard/Interior Alaska/10BM06450R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,8.0
87,A/mallard/Interior Alaska/10BM06459R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
88,A/mallard/Interior Alaska/10BM06456R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,7.999414999999999
89,A/mallard/Interior Alaska/10BM07777R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,4.0,Intra-Species,8.0
90,A/mallard/Interior Alaska/10BM06452R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,8.0
91,A/mallard/Interior Alaska/10BM06455R0/2010,A/mallard/Interior Alaska/10BM06461R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
92,A/northern pintail/Interior Alaska/9BM7934R0/2009,A/northern pintail/Interior Alaska/9BM8803R0/2009,Direct Transmission,-3.0,Intra-Species,7.99127
93,A/mallard/Interior Alaska/9BM10055R0/2009,A/mallard/Interior Alaska/9BM10111R0/2009,Direct Transmission,0.0,Intra-Species,7.9973899999999984
94,A/mallard/Interior Alaska/9BM2241R1/2009,A/mallard/Interior Alaska/9BM1949/2009,Direct Transmission,7.0,Intra-Species,7.997994999999999
95,A/mallard/Interior Alaska/9BM2398R0/2009,A/mallard/Interior Alaska/9BM1949/2009,Direct Transmission,9.0,Intra-Species,7.933934
96,A/mallard/Interior Alaska/9BM2250R0/2009,A/mallard/Interior Alaska/9BM1949/2009,Direct Transmission,7.0,Intra-Species,7.997994999999999
97,A/mallard/Interior Alaska/9BM2606R0/2009,A/mallard/Interior Alaska/9BM1949/2009,Direct Transmission,10.0,Intra-Species,7.996333
98,A/mallard/New Jersey/AI09-5086/2009,A/mallard/New Jersey/AI09-5137/2009,Direct Transmission,0.0,Intra-Species,7.9957699999999985
99,A/mallard/Missouri/10MO0333/2010,A/northern shoveler/Illinois/10OS3619/2010,Environmental Persistence,53.0,Inter-Species,7.950528
100,A/mallard/Interior Alaska/9BM1807/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,-2.0,Intra-Species,7.999416
101,A/mallard/Interior Alaska/9BM1864/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,-3.0,Intra-Species,7.999416
102,A/mallard/Interior Alaska/9BM1958/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,0.0,Intra-Species,8.0
103,A/mallard/Interior Alaska/9BM2168/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,6.0,Intra-Species,7.998919
104,A/mallard/Interior Alaska/9BM2254/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,7.0,Intra-Species,7.998417999999999
105,A/mallard/Interior Alaska/9BM1809/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,-2.0,Intra-Species,7.997959
106,A/mallard/Interior Alaska/9BM1962/2009,A/mallard/Interior Alaska/9BM1947/2009,Direct Transmission,0.0,Intra-Species,8.0
107,A/northern shoveler/Interior Alaska/9BM2925R0/2009,A/mallard/Interior Alaska/9BM2351R0/2009,Direct Transmission,4.0,Inter-Species,7.999417
108,A/blue-winged teal/Nova Scotia/01000/2010,A/blue-winged teal/Prince Edward Island/00849/2010,Environmental Persistence,17.0,Intra-Species,7.9993490000000005
109,A/blue-winged teal/Nova Scotia/01003/2010,A/blue-winged teal/Prince Edward Island/00849/2010,Environmental Persistence,17.0,Intra-Species,7.995550999999999
110,A/mallard/Nova Scotia/01013/2010,A/blue-winged teal/Prince Edward Island/00849/2010,Environmental Persistence,17.0,Inter-Species,7.9968910000000015
111,A/mallard/Mississippi/386/2010,A/mallard/Mississippi/360/2010,Direct Transmission,1.0,Intra-Species,7.990005
112,A/American black duck/New Brunswick/00500/2010,A/mallard/Minnesota/AI09-1829/2009,Environmental Persistence,380.0,Inter-Species,7.652037999999999
113,A/American black duck/New Brunswick/00476/2010,A/mallard/Minnesota/AI09-1829/2009,Environmental Persistence,380.0,Inter-Species,7.6542939999999975
114,A/mallard/New Brunswick/00495/2010,A/mallard/Minnesota/AI09-1829/2009,Environmental Persistence,380.0,Intra-Species,7.654330999999999
115,A/American black duck/New Brunswick/00484/2010,A/mallard/Minnesota/AI09-1829/2009,Environmental Persistence,380.0,Inter-Species,7.637092
116,A/American black duck/New Brunswick/00424/2010,A/American black duck/New Brunswick/00425/2010,Direct Transmission,0.0,Intra-Species,7.998462
117,A/northern pintail/Interior Alaska/10BM10805R0/2010,A/northern pintail/Interior Alaska/10BM10807R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
118,A/northern pintail/Interior Alaska/10BM10801R0/2010,A/northern pintail/Interior Alaska/10BM10807R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
119,A/mallard/Interior Alaska/10BM10811R0/2010,A/northern pintail/Interior Alaska/10BM10807R0/2010,Direct Transmission,0.0,Inter-Species,8.0
120,A/northern pintail/Interior Alaska/10BM10809R0/2010,A/northern pintail/Interior Alaska/10BM10807R0/2010,Direct Transmission,0.0,Intra-Species,8.0
121,A/mallard/Wisconsin/10OS3169/2010,A/mallard/Wisconsin/10OS2945/2010,Environmental Persistence,26.0,Intra-Species,7.996008
122,A/northern pintail/Interior Alaska/9BM10287R0/2009,A/northern pintail/Interior Alaska/9BM11317R0/2009,Direct Transmission,-2.0,Intra-Species,7.998075
123,A/northern pintail/Interior Alaska/9BM11783R0/2009,A/northern pintail/Interior Alaska/9BM11317R0/2009,Direct Transmission,1.0,Intra-Species,8.0
124,A/northern pintail/Interior Alaska/9BM6145R0/2009,A/northern pintail/Interior Alaska/9BM6144R0/2009,Direct Transmission,0.0,Intra-Species,8.0
125,A/northern pintail/Interior Alaska/9BM6146R0/2009,A/northern pintail/Interior Alaska/9BM6144R0/2009,Direct Transmission,0.0,Intra-Species,8.0
126,A/blue-winged teal/Nova Scotia/00081/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
127,A/blue-winged teal/Nova Scotia/00077/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
128,A/blue-winged teal/Nova Scotia/00073/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
129,A/blue-winged teal/Nova Scotia/00072/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
130,A/blue-winged teal/Nova Scotia/00074/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
131,A/blue-winged teal/Nova Scotia/00080/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
132,A/blue-winged teal/Nova Scotia/00075/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
133,A/blue-winged teal/Nova Scotia/00079/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
134,A/blue-winged teal/Nova Scotia/00078/2010,A/blue-winged teal/Nova Scotia/00076/2010,Direct Transmission,0.0,Intra-Species,8.0
135,A/mallard/Interior Alaska/9BM10370R0/2009,A/mallard/Interior Alaska/9BM10369R0/2009,Direct Transmission,0.0,Intra-Species,8.0
136,A/mallard/Interior Alaska/9BM10043R0/2009,A/mallard/Interior Alaska/9BM10369R0/2009,Direct Transmission,-2.0,Intra-Species,7.99896
137,A/black scoter/New Brunswick/00010/2009,A/black scoter/New Brunswick/00014/2009,Direct Transmission,0.0,Intra-Species,7.998981
138,A/northern pintail/Interior Alaska/9BM11179R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,2.0,Intra-Species,7.999115
139,A/northern pintail/Interior Alaska/9BM10222R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
140,A/northern pintail/Interior Alaska/9BM10234R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
141,A/northern pintail/Interior Alaska/9BM10218R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,7.999547
142,A/northern pintail/Interior Alaska/9BM10224R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
143,A/northern pintail/Interior Alaska/9BM10236R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
144,A/northern pintail/Interior Alaska/9BM10244R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
145,A/northern pintail/Interior Alaska/9BM10210R0/2009,A/northern pintail/Interior Alaska/9BM10238R0/2009,Direct Transmission,0.0,Intra-Species,8.0
146,A/ruddy turnstone/New Jersey/AI09-775/2009,A/ruddy turnstone/New Jersey/AI09-841/2009,Direct Transmission,7.0,Intra-Species,7.995798
147,A/American green-winged teal/Illinois/10OS3368/2010,A/American green-winged teal/Illinois/10OS3329/2010,Direct Transmission,0.0,Intra-Species,7.999303999999999
148,A/northern pintail/Interior Alaska/9BM10238R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
149,A/northern pintail/Interior Alaska/9BM11179R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,2.0,Intra-Species,7.999115
150,A/northern pintail/Interior Alaska/9BM10222R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
151,A/northern pintail/Interior Alaska/9BM10234R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
152,A/northern pintail/Interior Alaska/9BM10218R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,7.999547
153,A/northern pintail/Interior Alaska/9BM10224R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
154,A/northern pintail/Interior Alaska/9BM10236R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
155,A/northern pintail/Interior Alaska/9BM10210R0/2009,A/northern pintail/Interior Alaska/9BM10244R0/2009,Direct Transmission,0.0,Intra-Species,8.0
156,A/blue-winged teal/Guatemala/CIP049-12/2010,A/blue-winged teal/Guatemala/CIP049-13/2010,Direct Transmission,0.0,Inter-Species,7.989329
157,A/black scoter/New Brunswick/00014/2009,A/black scoter/New Brunswick/00010/2009,Direct Transmission,0.0,Intra-Species,7.998981
158,A/mallard/New Brunswick/00494/2010,A/American black duck/New Brunswick/00615/2010,Direct Transmission,-4.0,Inter-Species,7.919835000000001
159,A/American black duck/Nova Scotia/03273/2009,A/mallard/Nova Scotia/03271/2009,Direct Transmission,0.0,Inter-Species,7.993410000000001
160,A/blue-winged teal/Prince Edward Island/03912/2009,A/mallard/Nova Scotia/03271/2009,Direct Transmission,13.0,Inter-Species,7.9779589999999985
161,A/gadwall/Iowa/10OS2753/2010,A/mallard/New Jersey/AI09-5121/2009,Environmental Persistence,383.0,Inter-Species,7.570851999999999
162,A/northern pintail/Interior Alaska/10BM11038R0/2010,A/northern pintail/Interior Alaska/10BM11366R0/2010,Direct Transmission,-1.0,Intra-Species,7.975964999999999
163,A/American black duck/New Brunswick/00953/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,8.0,Inter-Species,7.9984259999999985
164,A/blue-winged teal/Nova Scotia/00076/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
165,A/gadwall/Nova Scotia/00783/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Inter-Species,7.999292
166,A/blue-winged teal/Nova Scotia/00081/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
167,A/gadwall/Nova Scotia/00786/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Inter-Species,8.0
168,A/blue-winged teal/Nova Scotia/00073/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
169,A/blue-winged teal/Nova Scotia/00072/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
170,A/blue-winged teal/Nova Scotia/00074/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
171,A/blue-winged teal/Nova Scotia/00080/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
172,A/blue-winged teal/Nova Scotia/00075/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
173,A/mallard/Nova Scotia/00778/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Inter-Species,7.999567999999999
174,A/blue-winged teal/Nova Scotia/00079/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
175,A/blue-winged teal/Nova Scotia/00078/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0.0,Intra-Species,8.0
176,A/northern pintail/Interior Alaska/10BM06899R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,1.0,Intra-Species,8.0
177,A/northern pintail/Interior Alaska/10BM07114R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,2.0,Intra-Species,8.0
178,A/mallard/Interior Alaska/10BM07092R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,2.0,Inter-Species,8.0
179,A/mallard/Interior Alaska/10BM06909R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,1.0,Inter-Species,7.9982349999999975
180,A/northern pintail/Interior Alaska/10BM07106R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,2.0,Intra-Species,7.998714
181,A/mallard/Interior Alaska/10BM08100R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,5.0,Inter-Species,7.9977839999999984
182,A/mallard/Interior Alaska/10BM06905R0/2010,A/northern pintail/Interior Alaska/10BM06524R0/2010,Direct Transmission,1.0,Inter-Species,8.0
