Strain Name,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Country,Host Species,Collection Date,Subtype,Complete Genome
A/American black duck/New Brunswick/00481/2010,CY138956,CY138955,CY138954,CY138949,CY138952,CY138951,CY138950,CY138953,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00484/2010,CY138964,CY138963,CY138962,CY138957,CY138960,CY138959,CY138958,CY138961,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H3N8,Yes
A/American black duck/New Brunswick/00485/2010,CY138972,CY138971,CY138970,CY138965,CY138968,CY138967,CY138966,CY138969,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H3N8,Yes
A/American black duck/New Brunswick/00486/2010,CY138983,CY138982,CY138981,CY138973,CY138977,CY138975,CY138974,CY138978,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,mixed,Yes
A/American black duck/New Brunswick/00487/2010,CY138991,CY138990,CY138989,CY138984,CY138987,CY138986,CY138985,CY138988,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N8,Yes
A/American black duck/New Brunswick/00488/2010,CY139002,CY139001,CY138999,CY138992,CY138996,CY138994,CY138993,CY138998,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,mixed,Yes
A/American black duck/New Brunswick/00499/2010,CY139039,CY139038,CY139037,CY139032,CY139035,CY139034,CY139033,CY139036,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00500/2010,CY139047,CY139046,CY139045,CY139040,CY139043,CY139042,CY139041,CY139044,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H3N8,Yes
A/American black duck/New Brunswick/00502/2010,CY139058,CY139057,CY139055,CY139048,CY139052,CY139050,CY139049,CY139054,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,mixed,Yes
A/American black duck/New Brunswick/00520/2010,CY139066,CY139065,CY139064,CY139059,CY139062,CY139061,CY139060,CY139063,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00522/2010,CY139074,CY139073,CY139072,CY139067,CY139070,CY139069,CY139068,CY139071,-N/A-,Canada,IRD:American Black Duck/Avian,8/13/2010,H3N8,Yes
A/American black duck/New Brunswick/00523/2010,CY139082,CY139081,CY139080,CY139075,CY139078,CY139077,CY139076,CY139079,-N/A-,Canada,IRD:American Black Duck/Avian,8/13/2010,H4N6,Yes
A/American black duck/New Brunswick/00525/2010,CY138072,CY138071,CY138070,CY138065,CY138068,CY138067,CY138066,CY138069,-N/A-,Canada,IRD:American Black Duck/Avian,8/13/2010,H3N8,Yes
A/American black duck/New Brunswick/00558/2010,CY139090,CY139089,CY139088,CY139083,CY139086,CY139085,CY139084,CY139087,-N/A-,Canada,IRD:American Black Duck/Avian,8/14/2010,H3N8,Yes
A/American black duck/New Brunswick/00587/2010,CY139098,CY139097,CY139096,CY139091,CY139094,CY139093,CY139092,CY139095,-N/A-,Canada,IRD:American Black Duck/Avian,8/15/2010,H4N6,Yes
A/American black duck/New Brunswick/00608/2010,CY139114,CY139113,CY139112,CY139107,CY139110,CY139109,CY139108,CY139111,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N8,Yes
A/American black duck/New Brunswick/00610/2010,CY139123,CY139122,CY139121,CY139115,CY139119,CY139117,CY139116,CY139120,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,(H4),Yes
A/American black duck/New Brunswick/00612/2010,CY139131,CY139130,CY139129,CY139124,CY139127,CY139126,CY139125,CY139128,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H10N7,Yes
A/American black duck/New Brunswick/00614/2010,CY139139,CY139138,CY139137,CY139132,CY139135,CY139134,CY139133,CY139136,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N8,Yes
A/American black duck/New Brunswick/00615/2010,CY139147,CY139146,CY139145,CY139140,CY139143,CY139142,CY139141,CY139144,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H4N8,Yes
A/American black duck/New Brunswick/00616/2010,CY139155,CY139154,CY139153,CY139148,CY139151,CY139150,CY139149,CY139152,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N8,Yes
A/American black duck/New Brunswick/00617/2010,CY139164,CY139163,CY139162,CY139156,CY139160,CY139159,CY139157,CY139161,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,(N6),Yes
A/American black duck/New Brunswick/00618/2010,CY139172,CY139171,CY139170,CY139165,CY139168,CY139167,CY139166,CY139169,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N6,Yes
A/American black duck/New Brunswick/00619/2010,CY139180,CY139179,CY139178,CY139173,CY139176,CY139175,CY139174,CY139177,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N6,Yes
A/American black duck/New Brunswick/00620/2010,CY139188,CY139187,CY139186,CY139181,CY139184,CY139183,CY139182,CY139185,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N6,Yes
A/American black duck/New Brunswick/00621/2010,CY139198,CY139197,CY139196,CY139189,CY139194,CY139192,CY139191,CY139195,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,mixed,Yes
A/American black duck/New Brunswick/00622/2010,CY139206,CY139205,CY139204,CY139199,CY139202,CY139201,CY139200,CY139203,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N6,Yes
A/American black duck/New Brunswick/00623/2010,CY139214,CY139213,CY139212,CY139207,CY139210,CY139209,CY139208,CY139211,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H4N8,Yes
A/American black duck/New Brunswick/00624/2010,CY139222,CY139221,CY139220,CY139215,CY139218,CY139217,CY139216,CY139219,-N/A-,Canada,IRD:American Black Duck/Avian,8/16/2010,H3N6,Yes
A/American black duck/New Brunswick/00687/2010,CY139246,CY139245,CY139244,CY139239,CY139242,CY139241,CY139240,CY139243,-N/A-,Canada,IRD:American Black Duck/Avian,8/9/2010,H3N8,Yes
A/American black duck/New Brunswick/00867/2010,CY139334,CY139333,CY139332,CY139327,CY139330,CY139329,CY139328,CY139331,-N/A-,Canada,IRD:American Black Duck/Avian,9/13/2010,H5N2,Yes
A/American black duck/New Brunswick/00878/2010,CY139351,CY139350,CY139349*,CY139344,CY139347,CY139346,CY139345,CY139348,-N/A-,Canada,IRD:American Black Duck/Avian,9/12/2010,H4N9,Yes
A/American black duck/New Brunswick/00886/2010,CY139376,CY139375,CY139374,CY139369,CY139372,CY139371,CY139370,CY139373,-N/A-,Canada,IRD:American Black Duck/Avian,9/13/2010,H4N9,Yes
A/American black duck/New Brunswick/00906/2010,CY139392,CY139391,CY139390,CY139385,CY139388,CY139387,CY139386,CY139389,-N/A-,Canada,IRD:American Black Duck/Avian,9/14/2010,H10N7,Yes
A/American black duck/New Brunswick/00909/2010,CY139400,CY139399,CY139398,CY139393,CY139396,CY139395,CY139394,CY139397,-N/A-,Canada,IRD:American Black Duck/Avian,9/14/2010,H10N7,Yes
A/American black duck/New Brunswick/00914/2010,CY139420,CY139419,CY139417,CY139412,CY139415,CY139414,CY139413,CY139416,-N/A-,Canada,IRD:American Black Duck/Avian,9/14/2010,mixed,Yes
A/American black duck/New Brunswick/00924/2010,CY139428,CY139427,CY139426,CY139421,CY139424,CY139423,CY139422,CY139425,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,H10N7,Yes
A/American black duck/New Brunswick/00946/2010,CY139439,CY139437,CY139436,CY139429,CY139433,CY139431,CY139430,CY139434,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,mixed,Yes
A/American black duck/New Brunswick/00949/2010,CY138080,CY138079,CY138078,CY138073,CY138076,CY138075,CY138074,CY138077,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,H4N6,Yes
A/American black duck/New Brunswick/00951/2010,CY139449,CY139448,CY139447,CY139440,CY139444,CY139442,CY139441,CY139445,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,mixed,Yes
A/American black duck/New Brunswick/00952/2010,CY139458,CY139457,CY139456,CY139450,CY139454,CY139453,CY139451,CY139455,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,mixed,Yes
A/American black duck/New Brunswick/00953/2010,CY139466,CY139465,CY139464,CY139459,CY139462,CY139461,CY139460,CY139463,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,H3N8,Yes
A/American black duck/New Brunswick/00954/2010,CY139475,CY139474,CY139473,CY139467,CY139470,CY139469,CY139468,CY139471,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,(H4),Yes
A/American black duck/New Brunswick/00955/2010,CY138088,CY138087,CY138086,CY138081,CY138084,CY138083,CY138082,CY138085,-N/A-,Canada,IRD:American Black Duck/Avian,9/15/2010,H4N8,Yes
A/American black duck/New Brunswick/00971/2010,CY139496,CY139495,CY139494,CY139489,CY139492,CY139491,CY139490,CY139493,-N/A-,Canada,IRD:American Black Duck/Avian,9/16/2010,H10N6,Yes
A/American black duck/New Brunswick/00986/2010,CY139512,CY139511,CY139510,CY139505,CY139508,CY139507,CY139506,CY139509,-N/A-,Canada,IRD:American Black Duck/Avian,9/16/2010,H4N6,Yes
A/American black duck/New Brunswick/00987/2010,CY139521,CY139520,CY139519,CY139513,CY139516,CY139515,CY139514,CY139517,-N/A-,Canada,IRD:American Black Duck/Avian,9/16/2010,mixed,Yes
A/American black duck/New Brunswick/00988/2010,CY139530,CY139529,CY139528,CY139522,CY139525,CY139524,CY139523,CY139526,-N/A-,Canada,IRD:American Black Duck/Avian,9/16/2010,mixed,Yes
A/American black duck/New Brunswick/00991/2010,CY139538,CY139537,CY139536,CY139531,CY139534,CY139533,CY139532,CY139535,-N/A-,Canada,IRD:American Black Duck/Avian,9/16/2010,H4N6,Yes
A/American black duck/New Brunswick/00998/2010,CY139557,CY139556,CY139555,CY139550,CY139553,CY139552,CY139551,CY139554,-N/A-,Canada,IRD:American Black Duck/Avian,9/17/2010,H12N6,Yes
A/American black duck/New Brunswick/03395/2009,CY129021,CY129020,CY129019,CY129014,CY129017,CY129016,CY129015,CY129018,-N/A-,Canada,IRD:American Black Duck/Avian,8/9/2009,H3N8,Yes
A/American black duck/New Brunswick/03398/2009,CY128989,CY128988,CY128987,CY128982,CY128985,CY128984,CY128983,CY128986,-N/A-,Canada,IRD:American Black Duck/Avian,8/9/2009,H3N8,Yes
A/American black duck/New Brunswick/03408/2009,CY129013,CY129012,CY129011,CY129006,CY129009,CY129008,CY129007,CY129010,-N/A-,Canada,IRD:American Black Duck/Avian,8/10/2009,H3N8,Yes
A/American black duck/New Brunswick/03451/2009,CY128957,CY128956,CY128955,CY128950,CY128953,CY128952,CY128951,CY128954,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2009,H3N9,Yes
A/American black duck/New Brunswick/03495/2009,CY129037,CY129036,CY129035,CY129030,CY129033,CY129032,CY129031,CY129034,-N/A-,Canada,IRD:American Black Duck/Avian,9/9/2009,H3N8,Yes
A/American black duck/New Brunswick/03509/2009,CY129029,CY129028,CY129027,CY129022,CY129025,CY129024,CY129023,CY129026,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H3N8,Yes
A/American black duck/New Brunswick/03511/2009,CY128981,CY128980,CY128979,CY128974,CY128977,CY128976,CY128975,CY128978,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H4N6,Yes
A/American black duck/New Brunswick/03530/2009,CY128491,CY128490*,CY128489,CY128484,CY128487,CY128486,CY128485,CY128488,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H4N6,Yes
A/American black duck/New Brunswick/03531/2009,CY128523,CY128522*,CY128521,CY128516,CY128519,CY128518,CY128517,CY128520,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H4N6,Yes
A/American black duck/New Brunswick/03532/2009,CY128531,CY128530*,CY128529,CY128524,CY128527,CY128526,CY128525,CY128528,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H4N6,Yes
A/American black duck/New Brunswick/03534/2009,CY128515,CY128514*,CY128513,CY128508,CY128511,CY128510,CY128509,CY128512,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2009,H4N6,Yes
A/American black duck/New Brunswick/03551/2009,CY128507*,CY128506*,CY128505,CY128500,CY128503,CY128502,CY128501,CY128504,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/New Brunswick/03552/2009,CY128997,CY128996,CY128995,CY128990,CY128993,CY128992,CY128991,CY128994,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/New Brunswick/03553/2009,CY128973,CY128972,CY128971,CY128966,CY128969,CY128968,CY128967,CY128970,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/New Brunswick/03554/2009,CY128555,CY128554,CY128553,CY128548,CY128551,CY128550,CY128549,CY128552,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/New Brunswick/03556/2009,CY128539,CY128538,CY128537,CY128532,CY128535,CY128534,CY128533,CY128536,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/New Brunswick/03559/2009,CY128547*,CY128546*,CY128545,CY128540,CY128543,CY128542,CY128541,CY128544,-N/A-,Canada,IRD:American Black Duck/Avian,9/11/2009,H4N6,Yes
A/American black duck/Nova Scotia/00083/2010,CY138535,CY138534,CY138533,CY138528,CY138531,CY138530,CY138529,CY138532,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00086/2010,CY138559,CY138558,CY138557,CY138552,CY138555,CY138554,CY138553,CY138556,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00089/2010,CY138575,CY138574,CY138573,CY138568,CY138571,CY138570,CY138569,CY138572,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00090/2010,CY138583,CY138582,CY138581,CY138576,CY138579,CY138578,CY138577,CY138580,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00091/2010,CY138591,CY138590,CY138589,CY138584,CY138587,CY138586,CY138585,CY138588,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00092/2010,CY138599,CY138598,CY138597,CY138592,CY138595,CY138594,CY138593,CY138596,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00094/2010,CY138615,CY138614,CY138613,CY138608,CY138611,CY138610,CY138609,CY138612,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00096/2010,CY138623,CY138622,CY138621,CY138616,CY138619,CY138618,CY138617,CY138620,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00098/2010,CY138631,CY138630,CY138629,CY138624,CY138627,CY138626,CY138625,CY138628,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/00099/2010,CY138639,CY138638,CY138637,CY138632,CY138635,CY138634,CY138633,CY138636,-N/A-,Canada,IRD:American Black Duck/Avian,9/10/2010,H1N1,Yes
A/American black duck/Nova Scotia/03273/2009,CY125629,CY125628,CY125627,CY125622,CY125625,CY125624,CY125623,CY125626,-N/A-,Canada,IRD:American Black Duck/Avian,8/6/2009,H3N8,Yes
A/American black duck/Prince Edward Island/00672/2010,CY139230,CY139229,CY139228,CY139223,CY139226,CY139225,CY139224,CY139227,-N/A-,Canada,IRD:American Black Duck/Avian,8/4/2010,H3N8,Yes
A/American black duck/Prince Edward Island/00673/2010,CY139238,CY139237,CY139236,CY139231,CY139234,CY139233,CY139232,CY139235,-N/A-,Canada,IRD:American Black Duck/Avian,8/4/2010,H3N8,Yes
A/American black duck/Prince Edward Island/00788/2010,CY139286,CY139285,CY139284,CY139279,CY139282,CY139281,CY139280,CY139283,-N/A-,Canada,IRD:American Black Duck/Avian,8/25/2010,H3N8,Yes
A/American black duck/Wisconsin/10OS3949/2010,CY133281,CY133280,CY133279,CY133274,CY133277,CY133276,CY133275,CY133278,Wisconsin,USA,IRD:American Black Duck/Avian,11/18/2010,H7N8,Yes
A/American black duck/Wisconsin/2542/2009,CY096985,CY096984,CY096983,CY096978,CY096981,CY096980,CY096979,CY096982,Wisconsin,USA,IRD:American Black Duck/Avian,10/5/2009,H4N2,Yes
A/American coot/Illinois/3405/2009,CY097166,CY097165,CY097164,CY097159,CY097162,CY097161,CY097160,CY097163,Illinois,USA,IRD:Coot/Avian,10/31/2009,H10N3,Yes
A/American green-winged teal/Illinois/10OS1551/2010,CY132900,CY132899,CY132898,CY132893,CY132896,CY132895,CY132894,CY132897,Illinois,USA,IRD:Green-winged Teal/Avian,9/4/2010,H4N6,Yes
A/American green-winged teal/Illinois/10OS1598/2010,CY132924,CY132923,CY132922,CY132917,CY132920,CY132919,CY132918,CY132921,Illinois,USA,IRD:Green-winged Teal/Avian,9/5/2010,H4N8,Yes
A/American green-winged teal/Illinois/10OS3329/2010,CY132980,CY132979,CY132978,CY132973,CY132976,CY132975,CY132974,CY132977,Illinois,USA,IRD:Green-winged Teal/Avian,10/30/2010,H7N7,Yes
A/American green-winged teal/Illinois/10OS3343/2010,CY132996,CY132995,CY132994,CY132989,CY132992,CY132991,CY132990,CY132993,Illinois,USA,IRD:Green-winged Teal/Avian,10/30/2010,H2N3,Yes
A/American green-winged teal/Illinois/10OS3368/2010,CY133004,CY133003,CY133002,CY132997,CY133000,CY132999,CY132998,CY133001,Illinois,USA,IRD:Green-winged Teal/Avian,10/30/2010,H7N7,Yes
A/American green-winged teal/Illinois/10OS3589/2010,CY133020,CY133019,CY133018,CY133013,CY133016,CY133015,CY133014,CY133017,Illinois,USA,IRD:Green-winged Teal/Avian,10/30/2010,H6N2,Yes
A/American green-winged teal/Illinois/10OS3662/2010,CY133536,CY133535,CY133534,CY133529,CY133532,CY133531,CY133530,CY133533,Illinois,USA,IRD:Green-winged Teal/Avian,10/31/2010,H11N2,Yes
A/American green-winged teal/Illinois/10OS4014/2010,CY133044,CY133043,CY133042,CY133037,CY133040,CY133039,CY133038,CY133041,Illinois,USA,IRD:Green-winged Teal/Avian,11/27/2010,H7N3,Yes
A/American green-winged teal/Illinois/2479/2009,CY097210,CY097209,CY097208,CY097203,CY097206,CY097205,CY097204,CY097207,Illinois,USA,IRD:Green-Winged Teal/Avian,10/17/2009,H2N3,Yes
A/American green-winged teal/Illinois/2975/2009,CY096933,CY096932,CY096931,CY096923,CY096929,CY096926,CY096925,CY096930,Illinois,USA,IRD:Green-Winged Teal/Avian,10/17/2009,(H10),Yes
A/American green-winged teal/Illinois/3053/2009,CY097193,CY097192,CY097191,CY097185,CY097188,CY097187,CY097186,CY097190,Illinois,USA,IRD:Green-Winged Teal/Avian,10/17/2009,mixed,Yes
A/American green-winged teal/Illinois/3054/2009,CY097202,CY097201,CY097200,CY097195,CY097198,CY097197,CY097196,CY097199,Illinois,USA,IRD:Green-Winged Teal/Avian,10/17/2009,H1N2,Yes
A/American green-winged teal/Illinois/3443/2009,CY096969,CY096968,CY096967,CY096961,CY096965,CY096964,CY096962,CY096966,Illinois,USA,IRD:Green-Winged Teal/Avian,10/31/2009,mixed,Yes
A/American green-winged teal/Interior Alaska/10BM04207R0/2010,CY130476,CY130475,CY130474,CY130469,CY130472,CY130471,CY130470,CY130473,Alaska,USA,IRD:Green-winged Teal/Avian,7/13/2010,H3N6,Yes
A/American green-winged teal/Interior Alaska/10BM05165R0/2010,CY135678,CY135677,CY135676,CY135671,CY135674,CY135673,CY135672,CY135675,Alaska,USA,IRD:Green-Winged Teal/Avian,7/22/2010,H4N6,Yes
A/American green-winged teal/Interior Alaska/10BM05376R0/2010,CY135736,CY135735,CY135734,CY135729,CY135732,CY135731,CY135730,CY135733,Alaska,USA,IRD:Green-Winged Teal/Avian,7/25/2010,H3N8,Yes
A/American green-winged teal/Interior Alaska/10BM05434R0/2010,CY135206,CY135205,CY135204,CY135197,CY135201,CY135200,CY135198,CY135203,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,Mixed,Yes
A/American green-winged teal/Interior Alaska/10BM05436R0/2010,CY135762,CY135761,CY135760,CY135753,CY135757,CY135756,CY135754,CY135759,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,Mixed,Yes
A/American green-winged teal/Interior Alaska/10BM05438R0/2010,CY135214*,CY135213*,CY135212*,CY135207*,CY135210*,CY135209*,CY135208*,CY135211*,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,Mixed,Yes
A/American green-winged teal/Interior Alaska/10BM05439R0/2010,CY138005,CY138004,CY138003,CY135216,CY138001,CY138000*,CY137998,CY138002,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,(N4),Yes
A/American green-winged teal/Interior Alaska/10BM05440R0/2010,CY135225,CY135224,CY135223,CY135217,CY135221,CY135220,CY135218,CY135222,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,(H3),Yes
A/American green-winged teal/Interior Alaska/10BM05441R0/2010,CY135234,CY135233,CY135232,CY135226,CY135230,CY135229,CY135227,CY135231,Alaska,USA,IRD:Green-Winged Teal/Avian,7/26/2010,(H3),Yes
A/American green-winged teal/Interior Alaska/10BM06728R0/2010,CY136050,CY136049,CY136048,CY136043,CY136046,CY136045,CY136044,CY136047,Alaska,USA,IRD:Green-Winged Teal/Avian,7/30/2010,H4N6,Yes
A/American green-winged teal/Interior Alaska/10BM07000R0/2010,CY136026,CY136025,CY136024,CY136019,CY136022,CY136021,CY136020,CY136023,Alaska,USA,IRD:Green-Winged Teal/Avian,7/31/2010,H4N6,Yes
A/American green-winged teal/Interior Alaska/10BM07573R0/2010,CY143491,CY143490,CY143489,CY143484,CY143487,CY143486,CY143485,CY143488,Alaska,USA,IRD:Green-winged Teal/Avian,8/2/2010,H3N8,Yes
A/American green-winged teal/Interior Alaska/10BM07649R0/2010,CY143507,CY143506,CY143505,CY143500,CY143503,CY143502,CY143501,CY143504,Alaska,USA,IRD:Green-winged Teal/Avian,8/2/2010,H3N8,Yes
A/American green-winged teal/Interior Alaska/10BM07863R0/2010,CY143523,CY143522,CY143521,CY143516,CY143519,CY143518,CY143517,CY143520,Alaska,USA,IRD:Green-winged Teal/Avian,8/3/2010,H4N6,Yes
A/American green-winged teal/Interior Alaska/10BM07917R0/2010,CY143531,CY143530,CY143529,CY143524,CY143527,CY143526,CY143525,CY143528,Alaska,USA,IRD:Green-winged Teal/Avian,8/3/2010,H3N8,Yes
