Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Sample ID
1,PB2,CY135736,Yes,2316,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
8,"NS1,NS2",CY135733,Yes,864,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
4,HA,CY135729,Yes,1740,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
1,PB2,CY136050,Yes,2316,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
4,HA,CY136043,Yes,1713,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
3,"PA,PA-X protein(+61)",CY136048,Yes,2208,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
6,NA,CY136045,Yes,1440,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
7,"M1,M2",CY136044,Yes,1002,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
8,"NS1,NS2",CY136047,Yes,865,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
5,NP,CY136046,Yes,1540,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
2,"PB1,PB1-F2",CY136049,Yes,2274,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM06728
2,"PB1,PB1-F2",CY136025,Yes,2309,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
1,PB2,CY136026,Yes,2307,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
3,"PA,PA-X protein(+61)",CY136024,Yes,2208,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
7,"M1,M2",CY136020,Yes,991,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
5,NP,CY136022,Yes,1540,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
8,"NS1,NS2",CY136023,Yes,865,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
4,HA,CY136019,Yes,1708,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
6,NA,CY136021,Yes,1439,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM07000
7,"M1,M2",CY143485,Yes,1002,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
4,HA,CY143484,Yes,1740,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
6,NA,CY143486,Yes,1421,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
2,"PB1,PB1-F2",CY143490,Yes,2309,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
5,NP,CY143487,Yes,1540,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
1,PB2,CY143491,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
8,"NS1,NS2",CY143488,Yes,864,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
3,"PA,PA-X protein(+61)",CY143489,Yes,2208,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07573
4,HA,CY143500,Yes,1740,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
5,NP,CY143503,Yes,1540,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
3,"PA,PA-X protein(+61)",CY143505,Yes,2202,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
7,"M1,M2",CY143501,Yes,1002,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
1,PB2,CY143507,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
8,"NS1,NS2",CY143504,Yes,864,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
6,NA,CY143502,Yes,1421,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
2,"PB1,PB1-F2",CY143506,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07649
6,NA,CY143518,Yes,1436,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
3,"PA,PA-X protein(+61)",CY143521,Yes,2208,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
5,NP,CY143519,Yes,1540,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
7,"M1,M2",CY143517,Yes,991,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
4,HA,CY143516,Yes,1708,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
1,PB2,CY143523,Yes,2307,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
8,"NS1,NS2",CY143520,Yes,865,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
2,"PB1,PB1-F2",CY143522,Yes,2309,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07863
2,"PB1,PB1-F2",CY143530,Yes,2309,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
6,NA,CY143526,Yes,1421,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
8,"NS1,NS2",CY143528,Yes,855,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
3,"PA,PA-X protein(+61)",CY143529,Yes,2208,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
4,HA,CY143524,Yes,1740,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
1,PB2,CY143531,Yes,2316,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
5,NP,CY143527,Yes,1540,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
7,"M1,M2",CY143525,Yes,1002,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM07917
6,NA,CY143550,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
4,HA,CY143548,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
7,"M1,M2",CY143549,Yes,1002,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
1,PB2,CY143555,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
2,"PB1,PB1-F2",CY143554,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
5,NP,CY143551,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
3,"PA,PA-X protein(+61)",CY143553,Yes,2208,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
8,"NS1,NS2",CY143552,Yes,864,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08134
6,NA,CY143558,Yes,1435,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
2,"PB1,PB1-F2",CY143562,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
5,NP,CY143559,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
4,HA,CY143556,Yes,1701,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
8,"NS1,NS2",CY143560,Yes,865,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
3,"PA,PA-X protein(+61)",CY143561,Yes,2201,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
1,PB2,CY143563,Yes,2306,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
7,"M1,M2",CY143557,Yes,994,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08222
3,"PA,PA-X protein(+61)",CY143569,Yes,2208,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
4,HA,CY143564,Yes,1713,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
5,NP,CY143567,Yes,1540,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
2,"PB1,PB1-F2",CY143570,Yes,2274,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
7,"M1,M2",CY143565,Yes,1002,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
8,"NS1,NS2",CY143568,Yes,865,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
6,NA,CY143566,Yes,1440,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
1,PB2,CY143571,Yes,2316,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08226
1,PB2,CY143579,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
4,HA,CY143572,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
3,"PA,PA-X protein(+61)",CY143577,Yes,2151,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
2,"PB1,PB1-F2",CY143578,Yes,2309,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
8,"NS1,NS2",CY143576,Yes,864,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
7,"M1,M2",CY143573,Yes,987,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
5,NP,CY143575,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
6,NA,CY143574,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08228
1,PB2,CY143587,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
6,NA,CY143582,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
8,"NS1,NS2",CY143584,Yes,864,H3N8,8/4/2010,IRD:GREEN-WINGED TEAL/Avian,USA,Alaska,-N/A-,10BM08422
7,"M1,M2",CY143581,Yes,991,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
2,"PB1,PB1-F2",CY143586,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
3,"PA,PA-X protein(+61)",CY143585,Yes,2208,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
5,NP,CY143583,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
4,HA,CY143580,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM08422
7,"M1,M2",CY143171,Yes,1002,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
5,NP,CY143173,Yes,1535,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
6,NA,CY143172,Yes,1435,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
8,"NS1,NS2",CY143174,Yes,865,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
1,PB2,CY143177,Yes,2316,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
4,HA,CY143170,Yes,1740,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
2,"PB1,PB1-F2",CY143176,Yes,2309,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
3,"PA,PA-X protein(+61)",CY143175,Yes,2208,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12318
7,"M1,M2",CY143195,Yes,1002,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
8,"NS1,NS2",CY143198,Yes,865,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
6,NA,CY143196,Yes,1435,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
5,NP,CY143197,Yes,1535,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
4,HA,CY143194,Yes,1740,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
1,PB2,CY143201,Yes,2316,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
2,"PB1,PB1-F2",CY143200,Yes,2309,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
3,"PA,PA-X protein(+61)",CY143199,Yes,2208,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12356
1,PB2,CY143451,Yes,2316,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
3,"PA,PA-X protein(+61)",CY143449,Yes,2208,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
7,"M1,M2",CY143445,Yes,985,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
2,"PB1,PB1-F2",CY143450,Yes,2309,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
6,NA,CY143446,Yes,1435,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
4,HA,CY143444,Yes,1740,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
8,"NS1,NS2",CY143448,Yes,865,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
5,NP,CY143447,Yes,1535,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,9-Aug,9BM12714
6,NA,CY135457,Yes,1433,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
2,"PB1,PB1-F2",CY135461,Yes,2316,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
3,"PA,PA-X protein(+61)",CY135460,Yes,2208,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
5,NP,CY135458,Yes,1537,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
4,HA,CY135455,Yes,1703,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
7,"M1,M2",CY135456,Yes,1002,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
8,"NS1,NS2",CY135459,Yes,848,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
1,PB2,CY135462,Yes,2316,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM3595
7,"M1,M2",CY135400,Yes,1002,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
3,"PA,PA-X protein(+61)",CY135404,Yes,2208,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
1,PB2,CY135406,Yes,2297,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
5,NP,CY135402,Yes,1537,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
6,NA,CY135401,Yes,1433,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
2,"PB1,PB1-F2",CY135405,Yes,2316,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
4,HA,CY135399,Yes,1703,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
8,"NS1,NS2",CY135403,Yes,848,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM4407
7,"M1,M2",CY135528,Yes,994,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
5,NP,CY135530,Yes,1535,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
1,PB2,CY135534,Yes,2306,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
2,"PB1,PB1-F2",CY135533,Yes,2316,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
4,HA,CY135527,Yes,1713,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
3,"PA,PA-X protein(+61)",CY135532,Yes,2208,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
6,NA,CY135529,Yes,1436,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
8,"NS1,NS2",CY135531,Yes,865,H4N6,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5041
3,"PA,PA-X protein(+61)",CY135540,Yes,2208,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
4,HA,CY135535,Yes,1719,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
8,"NS1,NS2",CY135539,Yes,865,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
2,"PB1,PB1-F2",CY135541,Yes,2316,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
5,NP,CY135538,Yes,1540,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
1,PB2,CY135542,Yes,2307,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
6,NA,CY135537,Yes,1437,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
7,"M1,M2",CY135536,Yes,1002,H8N4,7/29/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5045
1,PB2,CY135558,Yes,2316,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
3,"PA,PA-X protein(+61)",CY135556,Yes,2208,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
4,HA,CY135551,Yes,1713,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
5,NP,CY135554,Yes,1540,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
8,"NS1,NS2",CY135555,Yes,865,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
6,NA,CY135553,Yes,1440,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
2,"PB1,PB1-F2",CY135557,Yes,2274,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
7,"M1,M2",CY135552,Yes,1002,H4N6,7/30/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,9-Aug,9BM5277
8,"NS1,NS2",CY142010,Yes,848,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
7,"M1,M2",CY142007,Yes,994,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
1,PB2,CY142013,Yes,2306,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
6,NA,CY142008,Yes,1437,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
4,HA,CY142006,Yes,1703,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
3,"PA,PA-X protein(+61)",CY142011,Yes,2208,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
2,"PB1,PB1-F2",CY142012,Yes,2316,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
5,NP,CY142009,Yes,1537,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6222
3,"PA,PA-X protein(+61)",CY142431,Yes,2208,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
4,HA,CY142426,Yes,1703,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
6,NA,CY142428,Yes,1433,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
7,"M1,M2",CY142427,Yes,994,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
5,NP,CY142429,Yes,1537,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
1,PB2,CY142433,Yes,2306,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
2,"PB1,PB1-F2",CY142432,Yes,2316,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
8,"NS1,NS2",CY142430,Yes,848,H10N7,2009,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,9BM6223
3,"PA,PA-X protein(+61)",CY142439,Yes,2208,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
2,"PB1,PB1-F2",CY142440,Yes,2316,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
5,NP,CY142437,Yes,1537,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
1,PB2,CY142441,Yes,2306,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
7,"M1,M2",CY142435,Yes,994,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
6,NA,CY142436,Yes,1433,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
4,HA,CY142434,Yes,1703,H10N7,2009,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,9BM6225
