Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
3,"PA,PA-X protein(+61)",CY143561,Yes,2201,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
1,PB2,CY143563,Yes,2306,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
7,"M1,M2",CY143557,Yes,994,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
3,"PA,PA-X protein(+61)",CY143569,Yes,2208,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
4,HA,CY143564,Yes,1713,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
5,NP,CY143567,Yes,1540,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
2,"PB1,PB1-F2",CY143570,Yes,2274,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
7,"M1,M2",CY143565,Yes,1002,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
8,"NS1,NS2",CY143568,Yes,865,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
6,NA,CY143566,Yes,1440,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
1,PB2,CY143571,Yes,2316,H4N6,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08226R0/2010
1,PB2,CY143579,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
4,HA,CY143572,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
3,"PA,PA-X protein(+61)",CY143577,Yes,2151,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
2,"PB1,PB1-F2",CY143578,Yes,2309,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
8,"NS1,NS2",CY143576,Yes,864,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
7,"M1,M2",CY143573,Yes,987,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
5,NP,CY143575,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
6,NA,CY143574,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08228R0/2010
1,PB2,CY143587,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
6,NA,CY143582,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
8,"NS1,NS2",CY143584,Yes,864,H3N8,8/4/2010,IRD:GREEN-WINGED TEAL/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
7,"M1,M2",CY143581,Yes,991,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
2,"PB1,PB1-F2",CY143586,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
3,"PA,PA-X protein(+61)",CY143585,Yes,2208,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
5,NP,CY143583,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
4,HA,CY143580,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08422R0/2010
7,"M1,M2",CY143171,Yes,1002,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
5,NP,CY143173,Yes,1535,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
6,NA,CY143172,Yes,1435,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
8,"NS1,NS2",CY143174,Yes,865,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
1,PB2,CY143177,Yes,2316,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
4,HA,CY143170,Yes,1740,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
2,"PB1,PB1-F2",CY143176,Yes,2309,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
3,"PA,PA-X protein(+61)",CY143175,Yes,2208,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12318R0/2009
7,"M1,M2",CY143195,Yes,1002,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
8,"NS1,NS2",CY143198,Yes,865,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
6,NA,CY143196,Yes,1435,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
5,NP,CY143197,Yes,1535,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
4,HA,CY143194,Yes,1740,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
1,PB2,CY143201,Yes,2316,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
2,"PB1,PB1-F2",CY143200,Yes,2309,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
3,"PA,PA-X protein(+61)",CY143199,Yes,2208,H3N8,9/2/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12356R0/2009
1,PB2,CY143451,Yes,2316,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
3,"PA,PA-X protein(+61)",CY143449,Yes,2208,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
7,"M1,M2",CY143445,Yes,985,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
2,"PB1,PB1-F2",CY143450,Yes,2309,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
6,NA,CY143446,Yes,1435,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
4,HA,CY143444,Yes,1740,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
8,"NS1,NS2",CY143448,Yes,865,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
5,NP,CY143447,Yes,1535,H3N8,9/6/2009,IRD:Green-winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM12714R1/2009
6,NA,CY135457,Yes,1433,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
2,"PB1,PB1-F2",CY135461,Yes,2316,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
3,"PA,PA-X protein(+61)",CY135460,Yes,2208,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
5,NP,CY135458,Yes,1537,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
4,HA,CY135455,Yes,1703,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
7,"M1,M2",CY135456,Yes,1002,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
8,"NS1,NS2",CY135459,Yes,848,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
1,PB2,CY135462,Yes,2316,H10N7,7/23/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM3595R1/2009(H10N7)
7,"M1,M2",CY135400,Yes,1002,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM4407R0/2009(H10N7)
3,"PA,PA-X protein(+61)",CY135404,Yes,2208,H10N7,7/27/2009,IRD:Green-Winged Teal/Avian,USA,Alaska,09-Aug,A/American green-winged teal/Interior Alaska/9BM4407R0/2009(H10N7)
