Common Name,Sample ID,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8
A/northern pintail/Interior Alaska/10BM02791R0/2010(H4N6),10BM02791,KA 167 NPA 10 08,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,D,FR,C,64.91005,148.80132,1720,25-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DH167,366,,,,DECOY HEN,789,97.5,49.2,,,,428,10BM20428,10BM30428,DECOY PEN,,,,,,,,,,,,,,,,10BM02791,10BM02792,,CY130452,CY130451,CY130450,CY130445,CY130448,CY130447,CY130446,CY130449
A/northern shoveler/Interior Alaska/10BM02892R0/2010(H4N6),10BM02892,1095-33527,,CA19,,NSHO,Anas clypeata,F,A,H,AHY,AHY,W,M,F,64.91253,148.7762,1529,30-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",NC-CA19,149,12-Jul-10,,,NESTING HEN,,,,,,,,,,WHALE TAIL,FLUSH,,,,,,,,E,,,,,,,,,,CY130412,CY130411,CY130410,CY130405,CY130408,CY130407,CY130406,CY130409
A/mallard/Interior Alaska/10BM02980R0/2010(H9N2),10BM02980,,2118,,,MALL,Anas platyrhynchos,F,A,H,2A,HY,W,M,C,64.89674,148.77055,848,2-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG3,131,,N,,DUCKLING,285,78.3,45.1,,38.6,0,,,,BIG MINTO S PT BAIT,BAIT TRAP,,,,,,,,,,,,1/?,ABSENT,,10BM02980,10BM02981,,CY130460,CY130459,CY130458,CY130453,CY130456,CY130455,CY130454,CY130457
A/mallard/Interior Alaska/10BM03979R0/2010(H4N6),10BM03979,1837-23254,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2027,12-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY57,1390,12-Jul-10,N,,SUMMER,1300,113.8,56.8,295,,4,,,,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM03979,10BM03980,,CY130468,CY130467,CY130466,CY130461,CY130464,CY130463,CY130462,CY130465
A/American green-winged teal/Interior Alaska/10BM04207R0/2010(H3N6),10BM04207,934-93664,,,,AGWT,Anas crecca carolinensis,F,A,H,3,HY,W,M,C,64.9266,148.74922,948,13-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG13,384,13-Jul-10,N,,DUCKLING,267,70.3,35.2,,32.8,0,,,,GO DEVIL N BAIT,BAIT TRAP,,,,,,,,,,,,1/?,PRESENT,,10BM04207,10BM04208,,CY130476,CY130475,CY130474,CY130469,CY130472,CY130471,CY130470,CY130473
A/mallard/Interior Alaska/10BM04564R1/2010(H7N3),10BM04564,1837-23348,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY60,1461,18-Jul-10,N,,SUMMER,1190,106.6,50.2,270,,3,475,10BM20475,10BM30475,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04564,10BM04565,,CY135598,CY135597,CY135596,CY135591,CY135594,CY135593,CY135592,CY135595
A/mallard/Interior Alaska/10BM04618R0/2010(H4N6),10BM04618,1837-23373,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY61,1485,18-Jul-10,N,,SUMMER,1071,112.6,51.8,255,,1,499,10BM20499,10BM30499,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04618,10BM04619,,CY135606*,CY135605*,CY135604*,CY135599*,CY135602*,CY135601*,CY135600*,CY135603*
A/mallard/Interior Alaska/10BM04623R0/2010(H4N6),10BM04623,1837-23375,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY61,1487,18-Jul-10,N,,SUMMER,1180,114.1,52.8,271,,0,501,10BM20501,10BM30501,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04622,10BM04623,,CY135614,CY135613,CY135612,CY135607,CY135610,CY135609,CY135608,CY135611
A/mallard/Interior Alaska/10BM04624R0/2010(H4N6),10BM04624,1837-23376,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY61,1488,18-Jul-10,N,,SUMMER,1125,106.5,50.6,271,,3,502,10BM20502,10BM30502,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04624,10BM04625,,CY135622,CY135621,CY135620,CY135615,CY135618,CY135617,CY135616,CY135619
A/mallard/Interior Alaska/10BM04626R0/2010(H4N6),10BM04626,1837-23377,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY61,1489,18-Jul-10,N,,SUMMER,1258,117.3,52.5,283,,2,503,10BM20503,10BM30503,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04626,10BM04627,,CY135630,CY135629,CY135628,CY135623,CY135626,CY135625,CY135624,CY135627
A/northern pintail/Interior Alaska/10BM04668R0/2010(H4N6),10BM04668,1146-21330,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY62,1504,18-Jul-10,N,,SUMMER,728,95.1,46.7,248,,1,518,10BM20518,10BM30518,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04668,10BM04669,,CY135638,CY135637,CY135636,CY135631,CY135634,CY135633,CY135632,CY135635
A/northern pintail/Interior Alaska/10BM04704R0/2010(H4N6),10BM04704,1146-21348,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY63,1522,18-Jul-10,N,,SUMMER,777,98.9,48,258,,0,536,10BM20536,10BM30536,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04704,10BM04705,,CY135646,CY135645,CY135644,CY135639,CY135642,CY135641,CY135640,CY135643
A/northern pintail/Interior Alaska/10BM04722R0/2010(H4N6),10BM04722,1146-21357,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87021,148.84309,2251,18-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY63,1531,18-Jul-10,N,,SUMMER,795,96.9,46.4,250,,1,545,10BM20545,10BM30545,LITTLE MINTO ROCKET NET 2,ROCKET NET,,,,,,,,,,,,,,,10BM04722,10BM04723,,CY135654,CY135653,CY135652,CY135647,CY135650,CY135649,CY135648,CY135651
A/mallard/Interior Alaska/10BM04988R0/2010(H4N6),10BM04988,1837-23402,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.90078,148.84276,45,21-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG23,598,21-Jul-10,N,,HEN,1075,106.9,52.9,264,,0,,,,BACK DOOR JUICY BAIT,BAIT TRAP,,,,,,,,,,,,,,,10BM04988,10BM04989,,CY135662,CY135661,CY135660,CY135655,CY135658,CY135657,CY135656,CY135659
A/northern pintail/Interior Alaska/10BM05034R0/2010(H3N6),10BM05034,1146-21384,,,,NOPI,Anas acuta,F,A,H,2B,HY,W,M,C,64.86959,148.86501,1919,21-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG30,724,21-Jul-10,N,,DUCKLING,358,78.3,43.3,,36.3,,,,,LITTLE MINTO W,DRIVE TRAP,,,,,,,,,,,,,,,10BM05034,10BM05035,,CY135670,CY135669,CY135668,CY135663,CY135666,CY135665,CY135664,CY135667
A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),10BM05165,934-93718,,,,AGWT,Anas crecca carolinensis,M,A,H,2C,HY,W,M,C,64.90927,148.85413,1134,22-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG23,603,22-Jul-10,N,,DUCKLING,260,75.3,36.2,,34.3,0,,,,MAIN CHANNEL DUCK AVE,BAIT TRAP,,,,,,,,,,,,2/?,PRESENT,,10BM05165,10BM05166,,CY135678,CY135677,CY135676,CY135671,CY135674,CY135673,CY135672,CY135675
A/northern pintail/Interior Alaska/10BM05171R0/2010(H4N6),10BM05171,1146-21230,,,,NOPI,Anas acuta,M,A,H,2C,HY,W,M,C,64.92083,148.82919,1205,22-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG23,606,22-Jul-10,N,,DUCKLING,642,92.1,47.2,,45.3,0,,,,MAIN CHANNEL PIT FALL,BAIT TRAP,,,,,,,,,,,,2/?,ABSENT,,10BM05171,10BM05172,,CY135686,CY135685,CY135684,CY135679,CY135682,CY135681,CY135680,CY135683
A/mallard/Interior Alaska/10BM05247R0/2010(H4N6),10BM05247,1837-23400,,,,MALL,Anas platyrhynchos,F,A,H,2C,HY,W,M,C,64.92056,148.75727,1110,23-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG34,812,23-Jul-10,N,,DUCKLING,675,92.2,49.7,,41.9,2,,,,GO DEVIL W BAIT,BAIT TRAP,,,,,,,,,,,,,PRESENT,,10BM05247,10BM05248,,CY135694,CY135693,CY135692,CY135687,CY135690,CY135689,CY135688,CY135691
A/mallard/Interior Alaska/10BM05249R0/2010(H4N6),10BM05249,1837-23501,,,,MALL,Anas platyrhynchos,F,A,H,2C,HY,W,M,C,64.92056,148.75727,1110,23-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG34,813,23-Jul-10,N,,DUCKLING,686,91.3,50.3,,41.2,0,,,,GO DEVIL W BAIT,BAIT TRAP,,,,,,,,,,,,,PRESENT,,10BM05249,10BM05250,,CY135702,CY135701,CY135700,CY135695,CY135698,CY135697,CY135696,CY135699
A/mallard/Interior Alaska/10BM05337R0/2010(H4N6),10BM05337,1837-23504,2522,,,MALL,Anas platyrhynchos,F,A,H,2B,HY,W,M,C,64.91953,148.74458,1054,24-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG35,822,24-Jul-10,WT,O,DUCKLING,553,87.3,47,,39,0,,,,BIG MINTO NE HIDDEN,BAIT TRAP,,,,,,,,,,,,3/?,PRESENT,,10BM05337,10BM05338,,CY135720,CY135719,CY135718,CY135713,CY135716,CY135715,CY135714,CY135717
A/mallard/Interior Alaska/10BM05347R0/2010(H7N3),10BM05347,1837-23505,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.90912,148.75071,1145,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY64,1540,25-Jul-10,N,,FALL,1091,110.9,52.8,273,,0,,,,BIG MINTO BULL,BAIT TRAP,,,,,,,,,,,,,,,10BM05347,10BM05348,,CY135728,CY135727,CY135726,CY135721,CY135724,CY135723,CY135722,CY135725
A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8),10BM05376,934-93807,,,,AGWT,Anas crecca carolinensis,M,A,H,3,HY,W,M,C,64.90481,148.87319,1751,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG37,874,25-Jul-10,N,,DUCKLING,295,76.7,35.6,,35.4,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,7-Jul,PRESENT,,10BM05376,10BM05377,,CY135736,CY135735,CY135734,CY135729,CY135732,CY135731,CY135730,CY135733
A/northern shoveler/Interior Alaska/10BM05382R0/2010(H3N8),10BM05382,1095-33820,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,C,64.90481,148.87319,1751,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG37,877,25-Jul-10,N,,DUCKLING,463,103,42,,59.7,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,7/8+,ABSENT,,10BM05382,10BM05383,,CY135744,CY135743,CY135742,CY135737,CY135740,CY135739,CY135738,CY135741
A/northern shoveler/Interior Alaska/10BM05408R0/2010(H4N6),10BM05408,1095-33827,,,,NSHO,Anas clypeata,F,A,H,2B,HY,W,M,C,64.90481,148.87319,1855,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG38,890,25-Jul-10,N,,DUCKLING,325,86.2,39.6,,46,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,7-Jul,PRESENT,,10BM05408,10BM05409,,CY135752,CY135751,CY135750,CY135745,CY135748,CY135747,CY135746,CY135749
A/northern shoveler/Interior Alaska/10BM05487R0/2010(H3N8),10BM05487,1095-33862,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,OP,64.89838,148.86886,1426,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG40,936,26-Jul-10,N,,DUCKLING,462,104.1,43.5,,56.7,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05486,10BM05487,,CY135770,CY135769,CY135768,CY135763,CY135766,CY135765,CY135764,CY135767
A/northern shoveler/Interior Alaska/10BM05491R0/2010(H3N8),10BM05491,1095-33864,,,,NSHO,Anas clypeata,F,A,H,2A,HY,W,M,OP,64.89838,148.86886,1426,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG40,938,26-Jul-10,N,,DUCKLING,246,78.8,38.4,,41.1,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05490,10BM05491,,CY135778,CY135777,CY135776,CY135771,CY135774,CY135773,CY135772,CY135775
A/ring-necked duck/Interior Alaska/10BM05617R0/2010(H4N6),10BM05617,1146-21412,,,,RNDU,Aythya collaris,M,A,H,AHY,AHY,W,M,OP,64.89838,148.86886,1426,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG43,994,26-Jul-10,N,,MOLTER,736,92.7,41.8,107,,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05616,10BM05617,,CY135786,CY135785,CY135784,CY135779,CY135782,CY135781,CY135780,CY135783
A/northern shoveler/Interior Alaska/10BM05638R0/2010(H3N8),10BM05638,1095-33872,,,,NSHO,Anas clypeata,M,A,H,2B,HY,W,M,C,64.90741,148.88404,1826,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG44,1005,26-Jul-10,N,,DUCKLING,416,98,42.6,,52.6,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05638,10BM05639,,CY135794,CY135793,CY135792,CY135787,CY135790,CY135789,CY135788,CY135791
A/northern shoveler/Interior Alaska/10BM05649R0/2010(H3N8),10BM05649,1095-33877,,,,NSHO,Anas clypeata,M,A,H,2A,HY,W,M,OP,64.90741,148.88404,1826,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG44,1010,26-Jul-10,N,,DUCKLING,300,85.6,39.3,,42,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05648,10BM05649,,CY135802,CY135801,CY135800,CY135795,CY135798,CY135797,CY135796,CY135799
A/ring-necked duck/Interior Alaska/10BM05792R0/2010(H3N8),10BM05792,1146-21461,,,,RNDU,Aythya collaris,M,A,H,AHY,AHY,W,M,C,64.90741,148.88404,1826,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG48,1082,26-Jul-10,N,,MOLTER,693,95.2,41.6,85,,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05792,10BM05793,,CY135810,CY135809,CY135808,CY135803,CY135806,CY135805,CY135804,CY135807
A/mallard/Interior Alaska/10BM05797R0/2010(H3N8),10BM05797,1837-23404,,,,MALL,Anas platyrhynchos,F,A,H,2B,HY,W,M,C,64.90301,148.83168,2040,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG36,844,26-Jul-10,N,,DUCKLING,473,86.9,47.7,,43,1,,,,MAIN CHANNEL FLOWER BAIT,BAIT TRAP,,,,,,,,,,,,2/?,ABSENT,,10BM05797,10BM05798,,CY135818,CY135817,CY135816,CY135811,CY135814,CY135813,CY135812,CY135815
A/mallard/Interior Alaska/10BM05860R0/2010(H7N3),10BM05860,1837-23425,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.90508,148.79539,2359,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY65,1572,26-Jul-10,N,,FALL,1071,111.7,52.3,277,,0,579,10BM20579,10BM30579,ROCKET NET CAMP POINT SOUTH 2,ROCKET NET,,,,,,,,,,,,,,,10BM05860,10BM05861,,CY135826,CY135825,CY135824,CY135819,CY135822,CY135821,CY135820,CY135823
A/mallard/Interior Alaska/10BM05900R0/2010(H3N8),10BM05900,1837-23445,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.90508,148.79539,2359,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY66,1592,26-Jul-10,N,,FALL,1242,113.2,51.9,293,,0,599,10BM20599,10BM30599,ROCKET NET CAMP POINT SOUTH 2,ROCKET NET,,,,,,,,,,,,,,,10BM05900,10BM05901,,CY135834,CY135833,CY135832,CY135827,CY135830,CY135829,CY135828,CY135831
A/mallard/Interior Alaska/10BM05968R0/2010(H3N8),10BM05968,,2420,,,MALL,Anas platyrhynchos,F,A,H,2A,HY,W,M,C,64.90912,148.75071,325,27-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG48,1085,,N,,DUCKLING,328,73.5,41.2,,32.9,0,,,,BIG MINTO BULL,BAIT TRAP,,,,,,,,,,,,,,,10BM05968,10BM05969,,CY135842,CY135841,CY135840,CY135835,CY135838,CY135837,CY135836,CY135839
A/mallard/Interior Alaska/10BM05970R0/2010(H3N8),10BM05970,,2421,,,MALL,Anas platyrhynchos,M,A,H,2A,HY,W,M,C,64.90912,148.75071,325,27-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG48,1086,,N,,DUCKLING,323,73,41.3,,31.3,0,,,,BIG MINTO BULL,BAIT TRAP,,,,,,,,,,,,,,,10BM05970,10BM05971,,CY135850,CY135849,CY135848,CY135843,CY135846,CY135845,CY135844,CY135847
A/northern pintail/Interior Alaska/10BM06303R0/2010(H7N3),10BM06303,1146-21261,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92657,148.81829,2247,29-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT1,1711,29-Jul-10,N,,FALL,756,99.4,48.8,258,,0,676,10BM20676,10BM30676,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM06303,10BM06304,,CY135858,CY135857,CY135856,CY135851,CY135854,CY135853,CY135852,CY135855
A/northern pintail/Interior Alaska/10BM06306R0/2010(H7N3),10BM06306,1146-21262,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.92657,148.81829,2247,29-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT1,1712,29-Jul-10,N,,FALL,780,98.1,45.8,249,,0,677,10BM20677,10BM30677,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM06305,10BM06306,,CY135866,CY135865,CY135864,CY135859,CY135862,CY135861,CY135860,CY135863
A/mallard/Interior Alaska/10BM06448R0/2010(H4N6),10BM06448,1837-23570,,,,MALL,Anas platyrhynchos,M,A,H,3,HY,W,M,OP,64.93499,148.81372,1053,30-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT4,1782,30-Jul-10,N,,DUCKLING,897,106.7,53,219,51.8,0,835,10BM20835,10BM30835,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM06447,10BM06448,,CY135874,CY135873,CY135872,CY135867,CY135870,CY135869,CY135868,CY135871
