,Isolate2,Isolate1,PWI,Collection Date1,Host Species1,Subtype1,Country1,State/Province1,Collection Date2,Host Species2,Subtype2,Country2,State/Province2,Time Delta
119638,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/northern shoveler/Interior Alaska/10BM02593R0/2010,7.989718999999999,2010-06-23 00:00:00,IRD:Northern Shoveler/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"29 days, 00:00:00"
119639,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/northern shoveler/Interior Alaska/10BM02892R0/2010,7.985481,2010-06-30 00:00:00,IRD:Northern Shoveler/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"22 days, 00:00:00"
120838,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8),A/northern shoveler/Interior Alaska/10BM05382R0/2010,7.9900449999999985,2010-07-25 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-07-25 00:00:00,IRD:Green-Winged Teal/Avian,H3N8,USA,Alaska,00:00:00
123808,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6),A/mallard/Interior Alaska/10BM04623R0/2010(H4N6),7.988752000000002,2010-07-18 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-30 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"12 days, 00:00:00"
123809,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6),A/mallard/Interior Alaska/10BM04624R0/2010(H4N6),7.9887510000000015,2010-07-18 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-30 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"12 days, 00:00:00"
124184,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6),A/northern pintail/Interior Alaska/10BM04668R0/2010,7.988207000000001,2010-07-18 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-07-30 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"12 days, 00:00:00"
124186,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6),A/northern pintail/Interior Alaska/10BM04722R0/2010,7.98875,2010-07-18 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-07-30 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"12 days, 00:00:00"
126217,A/American green-winged teal/Interior Alaska/10BM07573R0/2010,A/mallard/Interior Alaska/10BM06447R0/2010,7.957495,2010-07-30 00:00:00,IRD:Mallard/Avian,(H3),USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"3 days, 00:00:00"
127088,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8),7.959662,2010-07-25 00:00:00,IRD:Green-Winged Teal/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
127410,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/mallard/Interior Alaska/10BM05797R0/2010(H3N8),7.982546000000001,2010-07-26 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"7 days, 00:00:00"
127413,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/mallard/Interior Alaska/10BM05968R0/2010,7.9901110000000015,2010-07-27 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"6 days, 00:00:00"
127415,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/mallard/Interior Alaska/10BM06447R0/2010,7.891317999999999,2010-07-30 00:00:00,IRD:Mallard/Avian,(H3),USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"3 days, 00:00:00"
127425,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/mallard/Interior Alaska/10BM06828R0/2010,7.9841869999999995,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
127426,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/mallard/Interior Alaska/10BM06835R0/2010,7.983755,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
127788,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern pintail/Interior Alaska/10BM06872R0/2010,7.989702999999999,2010-07-31 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
127803,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern pintail/Interior Alaska/10BM07597R0/2010(H3N8),7.985608999999999,2010-08-02 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
128026,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern shoveler/Interior Alaska/10BM05382R0/2010,7.959356999999999,2010-07-25 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
128028,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern shoveler/Interior Alaska/10BM05487R0/2010,7.95825,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"7 days, 00:00:00"
128029,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,A/northern shoveler/Interior Alaska/10BM05491R0/2010,7.958985999999999,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"7 days, 00:00:00"
128290,A/American green-winged teal/Interior Alaska/10BM07863R0/2010,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6),7.999414999999999,2010-07-31 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"3 days, 00:00:00"
129808,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,A/mallard/Interior Alaska/10BM05900R0/2010,7.893876,2010-07-26 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
130426,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,A/northern shoveler/Interior Alaska/10BM05638R0/2010,7.898867,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
130427,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,A/northern shoveler/Interior Alaska/10BM05649R0/2010,7.894741999999999,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
130466,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,A/ring-necked duck/Interior Alaska/10BM05792R0/2010(H3N8),7.894741999999999,2010-07-26 00:00:00,IRD:Ring-necked Duck/Avian,,,,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
130682,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8),7.9605869999999985,2010-07-25 00:00:00,IRD:Green-Winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"10 days, 00:00:00"
130688,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,7.9933119999999995,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
130695,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,7.987329999999999,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131004,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/mallard/Interior Alaska/10BM05797R0/2010(H3N8),7.983472999999999,2010-07-26 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
131007,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/mallard/Interior Alaska/10BM05968R0/2010,7.991039,2010-07-27 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
131009,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/mallard/Interior Alaska/10BM06447R0/2010,7.892246000000001,2010-07-30 00:00:00,IRD:Mallard/Avian,(H3),USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"5 days, 00:00:00"
131019,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/mallard/Interior Alaska/10BM06828R0/2010,7.985113,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
131020,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/mallard/Interior Alaska/10BM06835R0/2010,7.984681,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
131380,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM06704R0/2010,7.725494,2010-07-30 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"5 days, 00:00:00"
131382,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM06872R0/2010,7.990629999999999,2010-07-31 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
131397,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM07597R0/2010(H3N8),7.986535000000001,2010-08-02 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
131401,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08488R0/2010(H3N8),7.995105000000001,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131402,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010(H3N8),7.995105000000001,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131403,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08493R0/2010(H3N8),7.994673,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131404,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08505R0/2010(H3N8),7.9949629999999985,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131408,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern pintail/Interior Alaska/10BM08587R0/2010(H3N8),7.993954,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,,,,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
131620,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern shoveler/Interior Alaska/10BM05382R0/2010,7.960282999999999,2010-07-25 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"10 days, 00:00:00"
131622,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern shoveler/Interior Alaska/10BM05487R0/2010,7.959175999999999,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
131623,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,A/northern shoveler/Interior Alaska/10BM05491R0/2010,7.959910999999999,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
131885,A/American green-winged teal/Interior Alaska/10BM08222R0/2010,A/American green-winged teal/Interior Alaska/10BM07573R0/2010,7.5932689999999985,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
132207,A/American green-winged teal/Interior Alaska/10BM08222R0/2010,A/mallard/Interior Alaska/10BM06447R0/2010,7.595989000000001,2010-07-30 00:00:00,IRD:Mallard/Avian,(H3),USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"5 days, 00:00:00"
133081,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6),7.983347,2010-07-30 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"5 days, 00:00:00"
133392,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,A/mallard/Interior Alaska/10BM04623R0/2010(H4N6),7.983749,2010-07-18 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"17 days, 00:00:00"
133393,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,A/mallard/Interior Alaska/10BM04624R0/2010(H4N6),7.983747999999999,2010-07-18 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"17 days, 00:00:00"
133768,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,A/northern pintail/Interior Alaska/10BM04668R0/2010,7.9832040000000015,2010-07-18 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"17 days, 00:00:00"
133770,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,A/northern pintail/Interior Alaska/10BM04722R0/2010,7.983747,2010-07-18 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H4N6,USA,Alaska,"17 days, 00:00:00"
135474,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8),7.961119999999999,2010-07-25 00:00:00,IRD:Green-Winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"10 days, 00:00:00"
135480,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,7.986403,2010-08-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
135483,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,7.987329999999999,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
135796,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/mallard/Interior Alaska/10BM05797R0/2010(H3N8),7.985298999999999,2010-07-26 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
135799,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/mallard/Interior Alaska/10BM05968R0/2010,7.987568,2010-07-27 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"8 days, 00:00:00"
135811,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/mallard/Interior Alaska/10BM06828R0/2010,7.986949000000001,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
135812,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/mallard/Interior Alaska/10BM06835R0/2010,7.986517,2010-07-31 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
136172,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM06704R0/2010,7.727971000000001,2010-07-30 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"5 days, 00:00:00"
136174,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM06872R0/2010,7.986019000000001,2010-07-31 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"4 days, 00:00:00"
136189,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM07597R0/2010(H3N8),7.997478,2010-08-02 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"2 days, 00:00:00"
136193,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM08488R0/2010(H3N8),7.990495,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
136194,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM08489R0/2010(H3N8),7.990495,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
136195,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM08493R0/2010(H3N8),7.990064,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
136196,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM08505R0/2010(H3N8),7.990352000000001,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
136200,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern pintail/Interior Alaska/10BM08587R0/2010(H3N8),7.989342999999999,2010-08-04 00:00:00,IRD:Northern Pintail/Avian,,,,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,00:00:00
136412,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern shoveler/Interior Alaska/10BM05382R0/2010,7.960814999999999,2010-07-25 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"10 days, 00:00:00"
136414,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern shoveler/Interior Alaska/10BM05487R0/2010,7.9597099999999985,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
136415,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,A/northern shoveler/Interior Alaska/10BM05491R0/2010,7.960446000000001,2010-07-26 00:00:00,IRD:Northern Shoveler/Avian,H3N8,USA,Alaska,2010-08-04 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"9 days, 00:00:00"
138278,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8),7.988303,2009-08-15 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"18 days, 00:00:00"
138279,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8),7.986689999999999,2009-08-15 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"18 days, 00:00:00"
138280,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8),7.9868359999999985,2009-08-15 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"18 days, 00:00:00"
138282,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8),7.988297,2009-08-15 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"18 days, 00:00:00"
138289,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10717R0/2009,7.993547,2009-08-17 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"16 days, 00:00:00"
138290,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,A/mallard/Interior Alaska/9BM10851R0/2009,7.980505000000001,2009-08-17 00:00:00,IRD:Mallard/Avian,H3N8,USA,Alaska,2009-09-02 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,"16 days, 00:00:00"
